,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,UNITED STATES OF AMERICA,DAVIS BESSE-1,PWR,Operational,1977,709.4,1452.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=676
1,UNITED STATES OF AMERICA,DAVIS BESSE-1,PWR,Operational,1978,2614.5,4263.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=676
2,UNITED STATES OF AMERICA,DAVIS BESSE-1,PWR,Operational,1979,3129.1,4139.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=676
3,UNITED STATES OF AMERICA,DAVIS BESSE-1,PWR,Operational,1980,2093.6,3171.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=676
4,UNITED STATES OF AMERICA,DAVIS BESSE-1,PWR,Operational,1981,4363.4,5902.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=676
5,UNITED STATES OF AMERICA,DAVIS BESSE-1,PWR,Operational,1982,3218.1,4508.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=676
6,UNITED STATES OF AMERICA,DAVIS BESSE-1,PWR,Operational,1983,4883.3,6389.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=676
7,UNITED STATES OF AMERICA,DAVIS BESSE-1,PWR,Operational,1984,4291.56,5486.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=676
8,UNITED STATES OF AMERICA,DAVIS BESSE-1,PWR,Operational,1985,1942.92,2729.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=676
9,UNITED STATES OF AMERICA,DAVIS BESSE-1,PWR,Operational,1986,3.49,116.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=676
10,UNITED STATES OF AMERICA,DAVIS BESSE-1,PWR,Operational,1987,5063.98,7308.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=676
11,UNITED STATES OF AMERICA,DAVIS BESSE-1,PWR,Operational,1988,1164.4,1891.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=676
12,UNITED STATES OF AMERICA,DAVIS BESSE-1,PWR,Operational,1989,7322.11,8506.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=676
13,UNITED STATES OF AMERICA,DAVIS BESSE-1,PWR,Operational,1990,4161.47,4867.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=676
14,UNITED STATES OF AMERICA,DAVIS BESSE-1,PWR,Operational,1991,5843.86,6962.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=676
15,UNITED STATES OF AMERICA,DAVIS BESSE-1,PWR,Operational,1992,7650.49,8742.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=676
16,UNITED STATES OF AMERICA,DAVIS BESSE-1,PWR,Operational,1993,6083.4,7246.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=676
17,UNITED STATES OF AMERICA,DAVIS BESSE-1,PWR,Operational,1994,6385.0,7667.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=676
18,UNITED STATES OF AMERICA,DAVIS BESSE-1,PWR,Operational,1995,7670.57,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=676
19,UNITED STATES OF AMERICA,DAVIS BESSE-1,PWR,Operational,1996,6456.29,7452.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=676
20,UNITED STATES OF AMERICA,DAVIS BESSE-1,PWR,Operational,1997,7183.36,8184.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=676
21,UNITED STATES OF AMERICA,DAVIS BESSE-1,PWR,Operational,1998,6130.68,7181.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=676
22,UNITED STATES OF AMERICA,DAVIS BESSE-1,PWR,Operational,1999,7369.99,8311.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=676
23,UNITED STATES OF AMERICA,DAVIS BESSE-1,PWR,Operational,2000,6770.53,7633.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=676
24,UNITED STATES OF AMERICA,DAVIS BESSE-1,PWR,Operational,2001,7690.85,8738.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=676
25,UNITED STATES OF AMERICA,DAVIS BESSE-1,PWR,Operational,2002,929.02,1081.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=676
26,UNITED STATES OF AMERICA,DAVIS BESSE-1,PWR,Operational,2003,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=676
27,UNITED STATES OF AMERICA,DAVIS BESSE-1,PWR,Operational,2004,5778.43,6628.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=676
28,UNITED STATES OF AMERICA,DAVIS BESSE-1,PWR,Operational,2005,7177.43,8125.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=676
29,UNITED STATES OF AMERICA,DAVIS BESSE-1,PWR,Operational,2006,6375.42,7265.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=676
30,UNITED STATES OF AMERICA,DAVIS BESSE-1,PWR,Operational,2007,7705.8,8712.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=676
31,UNITED STATES OF AMERICA,DAVIS BESSE-1,PWR,Operational,2008,6829.44,7621.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=676
32,UNITED STATES OF AMERICA,DAVIS BESSE-1,PWR,Operational,2009,7609.61,8361.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=676
33,UNITED STATES OF AMERICA,DAVIS BESSE-1,PWR,Operational,2010,5188.16,5851.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=676
34,UNITED STATES OF AMERICA,DAVIS BESSE-1,PWR,Operational,2011,6339.24,7012.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=676
35,UNITED STATES OF AMERICA,DAVIS BESSE-1,PWR,Operational,2012,7101.7,7868.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=676
36,UNITED STATES OF AMERICA,DAVIS BESSE-1,PWR,Operational,2013,7679.22,8451.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=676
37,UNITED STATES OF AMERICA,DAVIS BESSE-1,PWR,Operational,2014,5972.42,6453.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=676
38,UNITED STATES OF AMERICA,DAVIS BESSE-1,PWR,Operational,2015,7893.92,8684.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=676
39,UNITED STATES OF AMERICA,DAVIS BESSE-1,PWR,Operational,2016,6394.93,7321.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=676
40,UNITED STATES OF AMERICA,DAVIS BESSE-1,PWR,Operational,2017,7876.43,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=676
41,UNITED STATES OF AMERICA,DAVIS BESSE-1,PWR,Operational,2018,7380.27,8169.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=676
42,UNITED STATES OF AMERICA,DAVIS BESSE-1,PWR,Operational,2019,7839.46,8632.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=676
43,UNITED STATES OF AMERICA,DAVIS BESSE-1,PWR,Operational,2020,7228.06,8130.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=676
44,UNITED STATES OF AMERICA,DAVIS BESSE-1,PWR,Operational,2021,7827.04,8682.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=676
45,UNITED STATES OF AMERICA,DAVIS BESSE-1,PWR,Operational,2022,6486.64,7310.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=676
46,UNITED STATES OF AMERICA,DAVIS BESSE-1,PWR,Operational,2023,7985.73,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=676
47,UNITED STATES OF AMERICA,DAVIS BESSE-1,PWR,Operational,2024,7368.12,8156.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=676
