,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,CHINA,DAYA BAY-2,PWR,Operational,1994,5741.21,6889.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=64
1,CHINA,DAYA BAY-2,PWR,Operational,1995,6343.33,7146.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=64
2,CHINA,DAYA BAY-2,PWR,Operational,1996,5276.9,5740.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=64
3,CHINA,DAYA BAY-2,PWR,Operational,1997,5914.84,6194.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=64
4,CHINA,DAYA BAY-2,PWR,Operational,1998,6259.05,7302.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=64
5,CHINA,DAYA BAY-2,PWR,Operational,1999,6789.46,7594.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=64
6,CHINA,DAYA BAY-2,PWR,Operational,2000,6995.52,7840.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=64
7,CHINA,DAYA BAY-2,PWR,Operational,2001,7355.47,7986.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=64
8,CHINA,DAYA BAY-2,PWR,Operational,2002,6728.92,7224.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=64
9,CHINA,DAYA BAY-2,PWR,Operational,2003,6983.05,7503.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=64
10,CHINA,DAYA BAY-2,PWR,Operational,2004,6358.88,6580.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=64
11,CHINA,DAYA BAY-2,PWR,Operational,2005,6586.98,7075.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=64
12,CHINA,DAYA BAY-2,PWR,Operational,2006,8222.79,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=64
13,CHINA,DAYA BAY-2,PWR,Operational,2007,7344.17,7858.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=64
14,CHINA,DAYA BAY-2,PWR,Operational,2008,7174.36,7667.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=64
15,CHINA,DAYA BAY-2,PWR,Operational,2009,8222.61,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=64
16,CHINA,DAYA BAY-2,PWR,Operational,2010,7685.64,8197.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=64
17,CHINA,DAYA BAY-2,PWR,Operational,2011,7113.12,7649.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=64
18,CHINA,DAYA BAY-2,PWR,Operational,2012,8304.98,8784.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=64
19,CHINA,DAYA BAY-2,PWR,Operational,2013,7091.41,7605.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=64
20,CHINA,DAYA BAY-2,PWR,Operational,2014,6249.97,6629.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=64
21,CHINA,DAYA BAY-2,PWR,Operational,2015,8193.18,8700.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=64
22,CHINA,DAYA BAY-2,PWR,Operational,2016,7290.17,7750.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=64
23,CHINA,DAYA BAY-2,PWR,Operational,2017,7376.85,7819.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=64
24,CHINA,DAYA BAY-2,PWR,Operational,2018,8306.97,8739.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=64
25,CHINA,DAYA BAY-2,PWR,Operational,2019,7704.07,8143.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=64
26,CHINA,DAYA BAY-2,PWR,Operational,2020,7475.32,7889.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=64
27,CHINA,DAYA BAY-2,PWR,Operational,2021,8321.42,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=64
28,CHINA,DAYA BAY-2,PWR,Operational,2022,7767.89,8209.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=64
29,CHINA,DAYA BAY-2,PWR,Operational,2023,6181.83,6511.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=64
30,CHINA,DAYA BAY-2,PWR,Operational,2024,8267.91,8681.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=64
