,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,UNITED STATES OF AMERICA,DIABLO CANYON-1,PWR,Operational,1984,204.0,814.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=628
1,UNITED STATES OF AMERICA,DIABLO CANYON-1,PWR,Operational,1985,5234.23,5206.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=628
2,UNITED STATES OF AMERICA,DIABLO CANYON-1,PWR,Operational,1986,5316.22,5757.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=628
3,UNITED STATES OF AMERICA,DIABLO CANYON-1,PWR,Operational,1987,8284.2,8340.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=628
4,UNITED STATES OF AMERICA,DIABLO CANYON-1,PWR,Operational,1988,5276.12,5555.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=628
5,UNITED STATES OF AMERICA,DIABLO CANYON-1,PWR,Operational,1989,7199.9,7069.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=628
6,UNITED STATES OF AMERICA,DIABLO CANYON-1,PWR,Operational,1990,8713.52,8425.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=628
7,UNITED STATES OF AMERICA,DIABLO CANYON-1,PWR,Operational,1991,7366.28,7125.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=628
8,UNITED STATES OF AMERICA,DIABLO CANYON-1,PWR,Operational,1992,7454.72,7224.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=628
9,UNITED STATES OF AMERICA,DIABLO CANYON-1,PWR,Operational,1993,9028.01,8630.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=628
10,UNITED STATES OF AMERICA,DIABLO CANYON-1,PWR,Operational,1994,7371.98,6991.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=628
11,UNITED STATES OF AMERICA,DIABLO CANYON-1,PWR,Operational,1995,7451.75,7175.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=628
12,UNITED STATES OF AMERICA,DIABLO CANYON-1,PWR,Operational,1996,8786.81,8316.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=628
13,UNITED STATES OF AMERICA,DIABLO CANYON-1,PWR,Operational,1997,8195.01,7700.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=628
14,UNITED STATES OF AMERICA,DIABLO CANYON-1,PWR,Operational,1998,8967.83,8564.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=628
15,UNITED STATES OF AMERICA,DIABLO CANYON-1,PWR,Operational,1999,8224.84,7764.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=628
16,UNITED STATES OF AMERICA,DIABLO CANYON-1,PWR,Operational,2000,7853.51,7485.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=628
17,UNITED STATES OF AMERICA,DIABLO CANYON-1,PWR,Operational,2001,9504.59,8708.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=628
18,UNITED STATES OF AMERICA,DIABLO CANYON-1,PWR,Operational,2002,7048.21,6652.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=628
19,UNITED STATES OF AMERICA,DIABLO CANYON-1,PWR,Operational,2003,9585.43,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=628
20,UNITED STATES OF AMERICA,DIABLO CANYON-1,PWR,Operational,2004,7233.89,6869.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=628
21,UNITED STATES OF AMERICA,DIABLO CANYON-1,PWR,Operational,2005,8323.35,7775.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=628
22,UNITED STATES OF AMERICA,DIABLO CANYON-1,PWR,Operational,2006,9944.98,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=628
23,UNITED STATES OF AMERICA,DIABLO CANYON-1,PWR,Operational,2007,8868.35,7870.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=628
24,UNITED STATES OF AMERICA,DIABLO CANYON-1,PWR,Operational,2008,9884.24,8784.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=628
25,UNITED STATES OF AMERICA,DIABLO CANYON-1,PWR,Operational,2009,8237.57,7295.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=628
26,UNITED STATES OF AMERICA,DIABLO CANYON-1,PWR,Operational,2010,8677.45,7753.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=628
27,UNITED STATES OF AMERICA,DIABLO CANYON-1,PWR,Operational,2011,9916.75,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=628
28,UNITED STATES OF AMERICA,DIABLO CANYON-1,PWR,Operational,2012,8295.66,7450.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=628
29,UNITED STATES OF AMERICA,DIABLO CANYON-1,PWR,Operational,2013,9653.45,8606.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=628
30,UNITED STATES OF AMERICA,DIABLO CANYON-1,PWR,Operational,2014,8556.89,7652.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=628
31,UNITED STATES OF AMERICA,DIABLO CANYON-1,PWR,Operational,2015,8793.72,7828.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=628
32,UNITED STATES OF AMERICA,DIABLO CANYON-1,PWR,Operational,2016,9974.63,8784.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=628
33,UNITED STATES OF AMERICA,DIABLO CANYON-1,PWR,Operational,2017,8204.54,7296.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=628
34,UNITED STATES OF AMERICA,DIABLO CANYON-1,PWR,Operational,2018,9733.67,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=628
35,UNITED STATES OF AMERICA,DIABLO CANYON-1,PWR,Operational,2019,8871.17,7886.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=628
36,UNITED STATES OF AMERICA,DIABLO CANYON-1,PWR,Operational,2020,8910.57,8064.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=628
37,UNITED STATES OF AMERICA,DIABLO CANYON-1,PWR,Operational,2021,9827.85,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=628
38,UNITED STATES OF AMERICA,DIABLO CANYON-1,PWR,Operational,2022,8912.1,8040.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=628
39,UNITED STATES OF AMERICA,DIABLO CANYON-1,PWR,Operational,2023,8207.56,7502.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=628
40,UNITED STATES OF AMERICA,DIABLO CANYON-1,PWR,Operational,2024,9828.01,8784.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=628
