,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
3,"NETHERLANDS, KINGDOM OF THE",DODEWAARD,BWR,Permanent Shutdown,1971,404.8,7595.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=422
4,"NETHERLANDS, KINGDOM OF THE",DODEWAARD,BWR,Permanent Shutdown,1972,325.8,6029.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=422
5,"NETHERLANDS, KINGDOM OF THE",DODEWAARD,BWR,Permanent Shutdown,1973,352.7,7225.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=422
6,"NETHERLANDS, KINGDOM OF THE",DODEWAARD,BWR,Permanent Shutdown,1974,268.1,5428.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=422
7,"NETHERLANDS, KINGDOM OF THE",DODEWAARD,BWR,Permanent Shutdown,1975,386.9,7924.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=422
8,"NETHERLANDS, KINGDOM OF THE",DODEWAARD,BWR,Permanent Shutdown,1976,406.9,8259.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=422
9,"NETHERLANDS, KINGDOM OF THE",DODEWAARD,BWR,Permanent Shutdown,1977,360.2,7286.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=422
10,"NETHERLANDS, KINGDOM OF THE",DODEWAARD,BWR,Permanent Shutdown,1978,408.0,8246.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=422
11,"NETHERLANDS, KINGDOM OF THE",DODEWAARD,BWR,Permanent Shutdown,1979,383.0,7993.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=422
12,"NETHERLANDS, KINGDOM OF THE",DODEWAARD,BWR,Permanent Shutdown,1980,381.0,7853.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=422
13,"NETHERLANDS, KINGDOM OF THE",DODEWAARD,BWR,Permanent Shutdown,1981,402.0,8219.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=422
14,"NETHERLANDS, KINGDOM OF THE",DODEWAARD,BWR,Permanent Shutdown,1982,375.0,7678.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=422
15,"NETHERLANDS, KINGDOM OF THE",DODEWAARD,BWR,Permanent Shutdown,1983,328.0,6737.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=422
16,"NETHERLANDS, KINGDOM OF THE",DODEWAARD,BWR,Permanent Shutdown,1984,443.0,8159.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=422
17,"NETHERLANDS, KINGDOM OF THE",DODEWAARD,BWR,Permanent Shutdown,1985,425.82,8118.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=422
18,"NETHERLANDS, KINGDOM OF THE",DODEWAARD,BWR,Permanent Shutdown,1986,407.19,7766.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=422
19,"NETHERLANDS, KINGDOM OF THE",DODEWAARD,BWR,Permanent Shutdown,1987,410.92,7672.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=422
20,"NETHERLANDS, KINGDOM OF THE",DODEWAARD,BWR,Permanent Shutdown,1988,431.47,8021.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=422
21,"NETHERLANDS, KINGDOM OF THE",DODEWAARD,BWR,Permanent Shutdown,1989,362.29,6863.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=422
22,"NETHERLANDS, KINGDOM OF THE",DODEWAARD,BWR,Permanent Shutdown,1990,409.1,7657.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=422
23,"NETHERLANDS, KINGDOM OF THE",DODEWAARD,BWR,Permanent Shutdown,1991,413.07,7500.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=422
24,"NETHERLANDS, KINGDOM OF THE",DODEWAARD,BWR,Permanent Shutdown,1992,416.44,7626.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=422
25,"NETHERLANDS, KINGDOM OF THE",DODEWAARD,BWR,Permanent Shutdown,1993,432.61,7966.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=422
26,"NETHERLANDS, KINGDOM OF THE",DODEWAARD,BWR,Permanent Shutdown,1994,416.66,7717.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=422
27,"NETHERLANDS, KINGDOM OF THE",DODEWAARD,BWR,Permanent Shutdown,1995,397.33,7494.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=422
28,"NETHERLANDS, KINGDOM OF THE",DODEWAARD,BWR,Permanent Shutdown,1996,397.24,7523.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=422
29,"NETHERLANDS, KINGDOM OF THE",DODEWAARD,BWR,Permanent Shutdown,1997,70.62,1416.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=422
