,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,BELGIUM,DOEL-2,PWR,Operational,1975,711.5,2305.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=11
1,BELGIUM,DOEL-2,PWR,Operational,1976,2462.8,6519.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=11
2,BELGIUM,DOEL-2,PWR,Operational,1977,2576.8,6649.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=11
3,BELGIUM,DOEL-2,PWR,Operational,1978,2750.6,7114.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=11
4,BELGIUM,DOEL-2,PWR,Operational,1979,2593.3,6639.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=11
5,BELGIUM,DOEL-2,PWR,Operational,1980,2782.0,7111.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=11
6,BELGIUM,DOEL-2,PWR,Operational,1981,2841.7,7226.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=11
7,BELGIUM,DOEL-2,PWR,Operational,1982,2582.0,6598.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=11
8,BELGIUM,DOEL-2,PWR,Operational,1983,2017.0,5190.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=11
9,BELGIUM,DOEL-2,PWR,Operational,1984,2916.0,7508.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=11
10,BELGIUM,DOEL-2,PWR,Operational,1985,2908.66,7341.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=11
11,BELGIUM,DOEL-2,PWR,Operational,1986,2282.63,5891.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=11
12,BELGIUM,DOEL-2,PWR,Operational,1987,2616.44,6612.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=11
13,BELGIUM,DOEL-2,PWR,Operational,1988,2906.68,7408.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=11
14,BELGIUM,DOEL-2,PWR,Operational,1989,2479.8,6436.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=11
15,BELGIUM,DOEL-2,PWR,Operational,1990,1982.58,5170.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=11
16,BELGIUM,DOEL-2,PWR,Operational,1991,2779.83,7136.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=11
17,BELGIUM,DOEL-2,PWR,Operational,1992,2971.94,7617.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=11
18,BELGIUM,DOEL-2,PWR,Operational,1993,2949.55,7551.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=11
19,BELGIUM,DOEL-2,PWR,Operational,1994,2982.45,7810.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=11
20,BELGIUM,DOEL-2,PWR,Operational,1995,2867.54,7342.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=11
21,BELGIUM,DOEL-2,PWR,Operational,1996,2888.76,7390.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=11
22,BELGIUM,DOEL-2,PWR,Operational,1997,2935.03,7749.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=11
23,BELGIUM,DOEL-2,PWR,Operational,1998,3145.01,7987.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=11
24,BELGIUM,DOEL-2,PWR,Operational,1999,3091.67,7875.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=11
25,BELGIUM,DOEL-2,PWR,Operational,2000,3135.59,8022.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=11
26,BELGIUM,DOEL-2,PWR,Operational,2001,3150.54,8060.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=11
27,BELGIUM,DOEL-2,PWR,Operational,2002,3104.45,8076.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=11
28,BELGIUM,DOEL-2,PWR,Operational,2003,3142.62,8184.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=11
29,BELGIUM,DOEL-2,PWR,Operational,2004,2951.91,7174.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=11
30,BELGIUM,DOEL-2,PWR,Operational,2005,3506.72,8036.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=11
31,BELGIUM,DOEL-2,PWR,Operational,2006,3399.32,7954.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=11
32,BELGIUM,DOEL-2,PWR,Operational,2007,3483.14,7985.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=11
33,BELGIUM,DOEL-2,PWR,Operational,2008,3478.91,8000.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=11
34,BELGIUM,DOEL-2,PWR,Operational,2009,3468.52,7941.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=11
35,BELGIUM,DOEL-2,PWR,Operational,2010,3411.4,7823.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=11
36,BELGIUM,DOEL-2,PWR,Operational,2011,3570.91,8292.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=11
37,BELGIUM,DOEL-2,PWR,Operational,2012,3261.59,7605.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=11
38,BELGIUM,DOEL-2,PWR,Operational,2013,3566.8,8238.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=11
39,BELGIUM,DOEL-2,PWR,Operational,2014,3528.42,8291.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=11
40,BELGIUM,DOEL-2,PWR,Operational,2015,2971.43,6883.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=11
41,BELGIUM,DOEL-2,PWR,Operational,2016,3037.09,7056.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=11
42,BELGIUM,DOEL-2,PWR,Operational,2017,3413.43,8071.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=11
43,BELGIUM,DOEL-2,PWR,Operational,2018,1475.2,3400.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=11
44,BELGIUM,DOEL-2,PWR,Operational,2019,2405.33,5653.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=11
45,BELGIUM,DOEL-2,PWR,Operational,2020,2161.14,5003.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=11
46,BELGIUM,DOEL-2,PWR,Operational,2021,3490.7,7901.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=11
47,BELGIUM,DOEL-2,PWR,Operational,2022,3538.97,8105.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=11
