,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
3,CANADA,DOUGLAS POINT,PHWR,Permanent Shutdown,1970,916.0,5155.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=40
4,CANADA,DOUGLAS POINT,PHWR,Permanent Shutdown,1971,1044.5,5345.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=40
5,CANADA,DOUGLAS POINT,PHWR,Permanent Shutdown,1972,356.5,1796.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=40
6,CANADA,DOUGLAS POINT,PHWR,Permanent Shutdown,1973,1048.1,5672.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=40
7,CANADA,DOUGLAS POINT,PHWR,Permanent Shutdown,1974,1129.6,6992.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=40
8,CANADA,DOUGLAS POINT,PHWR,Permanent Shutdown,1975,1284.3,6702.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=40
9,CANADA,DOUGLAS POINT,PHWR,Permanent Shutdown,1976,1089.5,5543.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=40
10,CANADA,DOUGLAS POINT,PHWR,Permanent Shutdown,1977,772.0,5713.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=40
11,CANADA,DOUGLAS POINT,PHWR,Permanent Shutdown,1978,855.2,6712.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=40
12,CANADA,DOUGLAS POINT,PHWR,Permanent Shutdown,1979,1063.9,8161.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=40
13,CANADA,DOUGLAS POINT,PHWR,Permanent Shutdown,1980,310.5,2436.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=40
14,CANADA,DOUGLAS POINT,PHWR,Permanent Shutdown,1981,1109.4,7981.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=40
15,CANADA,DOUGLAS POINT,PHWR,Permanent Shutdown,1982,1343.0,6703.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=40
16,CANADA,DOUGLAS POINT,PHWR,Permanent Shutdown,1983,1401.2,6860.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=40
17,CANADA,DOUGLAS POINT,PHWR,Permanent Shutdown,1984,538.97,2664.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=40
