,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
3,UNITED KINGDOM,DOUNREAY PFR,FBR,Permanent Shutdown,1978,232.3,2534.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=243
4,UNITED KINGDOM,DOUNREAY PFR,FBR,Permanent Shutdown,1979,159.0,2907.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=243
6,UNITED KINGDOM,DOUNREAY PFR,FBR,Permanent Shutdown,1981,215.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=243
7,UNITED KINGDOM,DOUNREAY PFR,FBR,Permanent Shutdown,1982,96.0,2971.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=243
8,UNITED KINGDOM,DOUNREAY PFR,FBR,Permanent Shutdown,1983,128.0,3542.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=243
9,UNITED KINGDOM,DOUNREAY PFR,FBR,Permanent Shutdown,1984,446.08,3097.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=243
10,UNITED KINGDOM,DOUNREAY PFR,FBR,Permanent Shutdown,1985,893.21,4393.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=243
11,UNITED KINGDOM,DOUNREAY PFR,FBR,Permanent Shutdown,1986,889.39,4669.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=243
12,UNITED KINGDOM,DOUNREAY PFR,FBR,Permanent Shutdown,1987,841.83,4804.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=243
13,UNITED KINGDOM,DOUNREAY PFR,FBR,Permanent Shutdown,1988,610.57,2906.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=243
14,UNITED KINGDOM,DOUNREAY PFR,FBR,Permanent Shutdown,1989,1042.6,5526.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=243
15,UNITED KINGDOM,DOUNREAY PFR,FBR,Permanent Shutdown,1990,534.07,2600.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=243
16,UNITED KINGDOM,DOUNREAY PFR,FBR,Permanent Shutdown,1991,777.19,3599.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=243
