,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,UNITED STATES OF AMERICA,DRESDEN-3,BWR,Operational,1971,1188.6,2137.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=612
1,UNITED STATES OF AMERICA,DRESDEN-3,BWR,Operational,1972,5175.6,7549.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=612
2,UNITED STATES OF AMERICA,DRESDEN-3,BWR,Operational,1973,3703.6,5905.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=612
3,UNITED STATES OF AMERICA,DRESDEN-3,BWR,Operational,1974,3608.9,5778.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=612
4,UNITED STATES OF AMERICA,DRESDEN-3,BWR,Operational,1975,2211.2,4505.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=612
5,UNITED STATES OF AMERICA,DRESDEN-3,BWR,Operational,1976,4037.2,7231.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=612
6,UNITED STATES OF AMERICA,DRESDEN-3,BWR,Operational,1977,5186.4,8072.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=612
7,UNITED STATES OF AMERICA,DRESDEN-3,BWR,Operational,1978,3835.3,6280.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=612
8,UNITED STATES OF AMERICA,DRESDEN-3,BWR,Operational,1979,3482.9,5930.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=612
9,UNITED STATES OF AMERICA,DRESDEN-3,BWR,Operational,1980,4335.5,6307.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=612
10,UNITED STATES OF AMERICA,DRESDEN-3,BWR,Operational,1981,5177.7,8256.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=612
11,UNITED STATES OF AMERICA,DRESDEN-3,BWR,Operational,1982,3896.4,5562.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=612
12,UNITED STATES OF AMERICA,DRESDEN-3,BWR,Operational,1983,4159.7,6401.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=612
13,UNITED STATES OF AMERICA,DRESDEN-3,BWR,Operational,1984,2135.5,3309.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=612
14,UNITED STATES OF AMERICA,DRESDEN-3,BWR,Operational,1985,4401.33,6618.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=612
15,UNITED STATES OF AMERICA,DRESDEN-3,BWR,Operational,1986,1498.3,2456.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=612
16,UNITED STATES OF AMERICA,DRESDEN-3,BWR,Operational,1987,4395.5,6591.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=612
17,UNITED STATES OF AMERICA,DRESDEN-3,BWR,Operational,1988,4168.36,6278.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=612
18,UNITED STATES OF AMERICA,DRESDEN-3,BWR,Operational,1989,5119.46,7235.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=612
19,UNITED STATES OF AMERICA,DRESDEN-3,BWR,Operational,1990,5149.79,7272.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=612
20,UNITED STATES OF AMERICA,DRESDEN-3,BWR,Operational,1991,2584.21,5247.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=612
21,UNITED STATES OF AMERICA,DRESDEN-3,BWR,Operational,1992,3077.06,5364.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=612
22,UNITED STATES OF AMERICA,DRESDEN-3,BWR,Operational,1993,4969.04,7040.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=612
23,UNITED STATES OF AMERICA,DRESDEN-3,BWR,Operational,1994,1666.36,3009.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=612
24,UNITED STATES OF AMERICA,DRESDEN-3,BWR,Operational,1995,3477.26,5209.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=612
25,UNITED STATES OF AMERICA,DRESDEN-3,BWR,Operational,1996,2962.14,4273.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=612
26,UNITED STATES OF AMERICA,DRESDEN-3,BWR,Operational,1997,4046.2,5900.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=612
27,UNITED STATES OF AMERICA,DRESDEN-3,BWR,Operational,1998,6234.59,8157.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=612
28,UNITED STATES OF AMERICA,DRESDEN-3,BWR,Operational,1999,6129.96,7978.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=612
29,UNITED STATES OF AMERICA,DRESDEN-3,BWR,Operational,2000,6365.12,8243.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=612
30,UNITED STATES OF AMERICA,DRESDEN-3,BWR,Operational,2001,6465.95,8359.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=612
31,UNITED STATES OF AMERICA,DRESDEN-3,BWR,Operational,2002,6060.87,7915.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=612
32,UNITED STATES OF AMERICA,DRESDEN-3,BWR,Operational,2003,6963.86,8206.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=612
33,UNITED STATES OF AMERICA,DRESDEN-3,BWR,Operational,2004,6436.94,7544.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=612
34,UNITED STATES OF AMERICA,DRESDEN-3,BWR,Operational,2005,7032.37,8169.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=612
35,UNITED STATES OF AMERICA,DRESDEN-3,BWR,Operational,2006,7171.93,8298.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=612
36,UNITED STATES OF AMERICA,DRESDEN-3,BWR,Operational,2007,7558.09,8715.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=612
37,UNITED STATES OF AMERICA,DRESDEN-3,BWR,Operational,2008,6919.05,8118.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=612
38,UNITED STATES OF AMERICA,DRESDEN-3,BWR,Operational,2009,7364.79,8557.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=612
39,UNITED STATES OF AMERICA,DRESDEN-3,BWR,Operational,2010,6866.24,8076.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=612
40,UNITED STATES OF AMERICA,DRESDEN-3,BWR,Operational,2011,7533.02,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=612
41,UNITED STATES OF AMERICA,DRESDEN-3,BWR,Operational,2012,6892.73,8218.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=612
42,UNITED STATES OF AMERICA,DRESDEN-3,BWR,Operational,2013,7869.99,8590.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=612
