,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,UNITED STATES OF AMERICA,DUANE ARNOLD-1,BWR,Permanent Shutdown,1974,1452.0,4101.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=667
1,UNITED STATES OF AMERICA,DUANE ARNOLD-1,BWR,Permanent Shutdown,1975,2298.2,6965.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=667
2,UNITED STATES OF AMERICA,DUANE ARNOLD-1,BWR,Permanent Shutdown,1976,2489.4,6847.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=667
3,UNITED STATES OF AMERICA,DUANE ARNOLD-1,BWR,Permanent Shutdown,1977,2897.8,6908.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=667
4,UNITED STATES OF AMERICA,DUANE ARNOLD-1,BWR,Permanent Shutdown,1978,1227.5,2902.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=667
5,UNITED STATES OF AMERICA,DUANE ARNOLD-1,BWR,Permanent Shutdown,1979,2898.9,6830.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=667
6,UNITED STATES OF AMERICA,DUANE ARNOLD-1,BWR,Permanent Shutdown,1980,2796.3,6456.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=667
7,UNITED STATES OF AMERICA,DUANE ARNOLD-1,BWR,Permanent Shutdown,1981,2219.5,6108.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=667
8,UNITED STATES OF AMERICA,DUANE ARNOLD-1,BWR,Permanent Shutdown,1982,2280.4,6543.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=667
9,UNITED STATES OF AMERICA,DUANE ARNOLD-1,BWR,Permanent Shutdown,1983,2324.3,5503.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=667
10,UNITED STATES OF AMERICA,DUANE ARNOLD-1,BWR,Permanent Shutdown,1984,2717.56,6402.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=667
11,UNITED STATES OF AMERICA,DUANE ARNOLD-1,BWR,Permanent Shutdown,1985,1940.49,4711.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=667
12,UNITED STATES OF AMERICA,DUANE ARNOLD-1,BWR,Permanent Shutdown,1986,3192.83,7495.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=667
13,UNITED STATES OF AMERICA,DUANE ARNOLD-1,BWR,Permanent Shutdown,1987,2546.58,5513.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=667
14,UNITED STATES OF AMERICA,DUANE ARNOLD-1,BWR,Permanent Shutdown,1988,3520.21,7128.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=667
15,UNITED STATES OF AMERICA,DUANE ARNOLD-1,BWR,Permanent Shutdown,1989,3143.64,6561.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=667
16,UNITED STATES OF AMERICA,DUANE ARNOLD-1,BWR,Permanent Shutdown,1990,3021.05,6498.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=667
17,UNITED STATES OF AMERICA,DUANE ARNOLD-1,BWR,Permanent Shutdown,1991,4146.8,8217.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=667
18,UNITED STATES OF AMERICA,DUANE ARNOLD-1,BWR,Permanent Shutdown,1992,3434.64,7112.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=667
19,UNITED STATES OF AMERICA,DUANE ARNOLD-1,BWR,Permanent Shutdown,1993,3241.4,6755.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=667
20,UNITED STATES OF AMERICA,DUANE ARNOLD-1,BWR,Permanent Shutdown,1994,4108.36,8078.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=667
21,UNITED STATES OF AMERICA,DUANE ARNOLD-1,BWR,Permanent Shutdown,1995,3736.97,7253.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=667
22,UNITED STATES OF AMERICA,DUANE ARNOLD-1,BWR,Permanent Shutdown,1996,3938.54,7906.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=667
23,UNITED STATES OF AMERICA,DUANE ARNOLD-1,BWR,Permanent Shutdown,1997,4155.53,8125.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=667
24,UNITED STATES OF AMERICA,DUANE ARNOLD-1,BWR,Permanent Shutdown,1998,3839.16,7477.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=667
25,UNITED STATES OF AMERICA,DUANE ARNOLD-1,BWR,Permanent Shutdown,1999,3649.04,7267.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=667
26,UNITED STATES OF AMERICA,DUANE ARNOLD-1,BWR,Permanent Shutdown,2000,4455.71,8553.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=667
27,UNITED STATES OF AMERICA,DUANE ARNOLD-1,BWR,Permanent Shutdown,2001,3860.64,7473.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=667
28,UNITED STATES OF AMERICA,DUANE ARNOLD-1,BWR,Permanent Shutdown,2002,4581.08,8147.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=667
29,UNITED STATES OF AMERICA,DUANE ARNOLD-1,BWR,Permanent Shutdown,2003,3998.57,7209.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=667
30,UNITED STATES OF AMERICA,DUANE ARNOLD-1,BWR,Permanent Shutdown,2004,4929.91,8596.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=667
31,UNITED STATES OF AMERICA,DUANE ARNOLD-1,BWR,Permanent Shutdown,2005,4544.47,7882.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=667
32,UNITED STATES OF AMERICA,DUANE ARNOLD-1,BWR,Permanent Shutdown,2006,5095.41,8664.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=667
33,UNITED STATES OF AMERICA,DUANE ARNOLD-1,BWR,Permanent Shutdown,2007,4518.88,7598.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=667
34,UNITED STATES OF AMERICA,DUANE ARNOLD-1,BWR,Permanent Shutdown,2008,5282.81,8784.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=667
35,UNITED STATES OF AMERICA,DUANE ARNOLD-1,BWR,Permanent Shutdown,2009,4678.93,7891.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=667
36,UNITED STATES OF AMERICA,DUANE ARNOLD-1,BWR,Permanent Shutdown,2010,4454.36,7471.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=667
37,UNITED STATES OF AMERICA,DUANE ARNOLD-1,BWR,Permanent Shutdown,2011,5215.23,8611.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=667
38,UNITED STATES OF AMERICA,DUANE ARNOLD-1,BWR,Permanent Shutdown,2012,4347.0,7391.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=667
39,UNITED STATES OF AMERICA,DUANE ARNOLD-1,BWR,Permanent Shutdown,2013,5320.78,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=667
40,UNITED STATES OF AMERICA,DUANE ARNOLD-1,BWR,Permanent Shutdown,2014,4152.47,7482.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=667
41,UNITED STATES OF AMERICA,DUANE ARNOLD-1,BWR,Permanent Shutdown,2015,5243.45,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=667
42,UNITED STATES OF AMERICA,DUANE ARNOLD-1,BWR,Permanent Shutdown,2016,4702.67,8096.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=667
