,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,CZECH REPUBLIC,DUKOVANY-3,PWR,Operational,1986,280.19,1356.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=80
1,CZECH REPUBLIC,DUKOVANY-3,PWR,Operational,1987,3109.91,7644.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=80
2,CZECH REPUBLIC,DUKOVANY-3,PWR,Operational,1988,2988.88,7672.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=80
3,CZECH REPUBLIC,DUKOVANY-3,PWR,Operational,1989,2685.66,6678.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=80
4,CZECH REPUBLIC,DUKOVANY-3,PWR,Operational,1990,2981.97,7763.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=80
5,CZECH REPUBLIC,DUKOVANY-3,PWR,Operational,1991,2987.03,7784.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=80
6,CZECH REPUBLIC,DUKOVANY-3,PWR,Operational,1992,2917.94,6678.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=80
7,CZECH REPUBLIC,DUKOVANY-3,PWR,Operational,1993,3190.49,7259.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=80
8,CZECH REPUBLIC,DUKOVANY-3,PWR,Operational,1994,3343.93,7870.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=80
9,CZECH REPUBLIC,DUKOVANY-3,PWR,Operational,1995,2689.63,7788.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=80
10,CZECH REPUBLIC,DUKOVANY-3,PWR,Operational,1996,2871.23,7114.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=80
11,CZECH REPUBLIC,DUKOVANY-3,PWR,Operational,1997,2904.58,6774.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=80
12,CZECH REPUBLIC,DUKOVANY-3,PWR,Operational,1998,3090.14,7564.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=80
13,CZECH REPUBLIC,DUKOVANY-3,PWR,Operational,1999,3246.18,7849.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=80
14,CZECH REPUBLIC,DUKOVANY-3,PWR,Operational,2000,3187.89,7776.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=80
15,CZECH REPUBLIC,DUKOVANY-3,PWR,Operational,2001,3005.99,7309.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=80
16,CZECH REPUBLIC,DUKOVANY-3,PWR,Operational,2002,3259.39,7880.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=80
17,CZECH REPUBLIC,DUKOVANY-3,PWR,Operational,2003,3280.09,7934.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=80
18,CZECH REPUBLIC,DUKOVANY-3,PWR,Operational,2004,3302.47,7957.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=80
19,CZECH REPUBLIC,DUKOVANY-3,PWR,Operational,2005,2964.87,7034.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=80
20,CZECH REPUBLIC,DUKOVANY-3,PWR,Operational,2006,3396.2,8004.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=80
21,CZECH REPUBLIC,DUKOVANY-3,PWR,Operational,2007,3427.86,8068.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=80
22,CZECH REPUBLIC,DUKOVANY-3,PWR,Operational,2008,3548.84,8273.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=80
23,CZECH REPUBLIC,DUKOVANY-3,PWR,Operational,2009,2944.75,6688.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=80
24,CZECH REPUBLIC,DUKOVANY-3,PWR,Operational,2010,3283.52,7146.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=80
25,CZECH REPUBLIC,DUKOVANY-3,PWR,Operational,2011,3643.88,7940.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=80
26,CZECH REPUBLIC,DUKOVANY-3,PWR,Operational,2012,3691.31,8040.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=80
27,CZECH REPUBLIC,DUKOVANY-3,PWR,Operational,2013,3542.84,7714.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=80
28,CZECH REPUBLIC,DUKOVANY-3,PWR,Operational,2014,3500.03,7639.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=80
29,CZECH REPUBLIC,DUKOVANY-3,PWR,Operational,2015,2673.32,5870.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=80
30,CZECH REPUBLIC,DUKOVANY-3,PWR,Operational,2016,2336.18,5021.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=80
31,CZECH REPUBLIC,DUKOVANY-3,PWR,Operational,2017,2813.49,6072.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=80
32,CZECH REPUBLIC,DUKOVANY-3,PWR,Operational,2018,3630.68,7947.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=80
33,CZECH REPUBLIC,DUKOVANY-3,PWR,Operational,2019,3521.99,7691.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=80
34,CZECH REPUBLIC,DUKOVANY-3,PWR,Operational,2020,2919.55,6452.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=80
35,CZECH REPUBLIC,DUKOVANY-3,PWR,Operational,2021,3387.51,7412.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=80
36,CZECH REPUBLIC,DUKOVANY-3,PWR,Operational,2022,3477.43,7638.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=80
37,CZECH REPUBLIC,DUKOVANY-3,PWR,Operational,2023,3936.58,8637.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=80
38,CZECH REPUBLIC,DUKOVANY-3,PWR,Operational,2024,3238.93,6999.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=80
