,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
5,UNITED KINGDOM,DUNGENESS A-1,GCR,Permanent Shutdown,1970,1588.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=275
6,UNITED KINGDOM,DUNGENESS A-1,GCR,Permanent Shutdown,1971,1703.5,8809.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=275
7,UNITED KINGDOM,DUNGENESS A-1,GCR,Permanent Shutdown,1972,1709.45,8736.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=275
8,UNITED KINGDOM,DUNGENESS A-1,GCR,Permanent Shutdown,1973,1605.5,8736.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=275
9,UNITED KINGDOM,DUNGENESS A-1,GCR,Permanent Shutdown,1974,1687.0,8672.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=275
10,UNITED KINGDOM,DUNGENESS A-1,GCR,Permanent Shutdown,1975,1648.5,8736.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=275
11,UNITED KINGDOM,DUNGENESS A-1,GCR,Permanent Shutdown,1976,1530.5,8867.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=275
12,UNITED KINGDOM,DUNGENESS A-1,GCR,Permanent Shutdown,1977,1409.5,8736.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=275
13,UNITED KINGDOM,DUNGENESS A-1,GCR,Permanent Shutdown,1978,1333.5,8731.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=275
14,UNITED KINGDOM,DUNGENESS A-1,GCR,Permanent Shutdown,1979,584.5,6905.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=275
15,UNITED KINGDOM,DUNGENESS A-1,GCR,Permanent Shutdown,1980,34.5,540.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=275
16,UNITED KINGDOM,DUNGENESS A-1,GCR,Permanent Shutdown,1981,60.0,840.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=275
17,UNITED KINGDOM,DUNGENESS A-1,GCR,Permanent Shutdown,1982,1295.0,8666.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=275
18,UNITED KINGDOM,DUNGENESS A-1,GCR,Permanent Shutdown,1983,1481.0,8736.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=275
19,UNITED KINGDOM,DUNGENESS A-1,GCR,Permanent Shutdown,1984,1457.0,8736.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=275
20,UNITED KINGDOM,DUNGENESS A-1,GCR,Permanent Shutdown,1985,1668.17,8716.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=275
21,UNITED KINGDOM,DUNGENESS A-1,GCR,Permanent Shutdown,1986,1313.18,8678.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=275
22,UNITED KINGDOM,DUNGENESS A-1,GCR,Permanent Shutdown,1987,1527.39,8796.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=275
23,UNITED KINGDOM,DUNGENESS A-1,GCR,Permanent Shutdown,1988,1042.38,8568.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=275
24,UNITED KINGDOM,DUNGENESS A-1,GCR,Permanent Shutdown,1989,1101.5,8736.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=275
25,UNITED KINGDOM,DUNGENESS A-1,GCR,Permanent Shutdown,1990,1497.66,8711.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=275
26,UNITED KINGDOM,DUNGENESS A-1,GCR,Permanent Shutdown,1991,1600.2,8695.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=275
27,UNITED KINGDOM,DUNGENESS A-1,GCR,Permanent Shutdown,1992,1872.83,8905.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=275
28,UNITED KINGDOM,DUNGENESS A-1,GCR,Permanent Shutdown,1993,1609.69,8697.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=275
29,UNITED KINGDOM,DUNGENESS A-1,GCR,Permanent Shutdown,1994,1770.33,8101.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=275
30,UNITED KINGDOM,DUNGENESS A-1,GCR,Permanent Shutdown,1995,1834.57,8450.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=275
31,UNITED KINGDOM,DUNGENESS A-1,GCR,Permanent Shutdown,1996,1255.17,5824.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=275
