,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
1,UNITED KINGDOM,DUNGENESS B-1,GCR,Permanent Shutdown,1984,598.0,2319.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=248
2,UNITED KINGDOM,DUNGENESS B-1,GCR,Permanent Shutdown,1985,2438.25,6117.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=248
3,UNITED KINGDOM,DUNGENESS B-1,GCR,Permanent Shutdown,1986,1172.56,4447.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=248
4,UNITED KINGDOM,DUNGENESS B-1,GCR,Permanent Shutdown,1987,210.32,1179.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=248
5,UNITED KINGDOM,DUNGENESS B-1,GCR,Permanent Shutdown,1988,1233.94,3857.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=248
6,UNITED KINGDOM,DUNGENESS B-1,GCR,Permanent Shutdown,1989,647.2,2650.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=248
7,UNITED KINGDOM,DUNGENESS B-1,GCR,Permanent Shutdown,1990,757.96,5093.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=248
8,UNITED KINGDOM,DUNGENESS B-1,GCR,Permanent Shutdown,1991,2656.18,7329.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=248
9,UNITED KINGDOM,DUNGENESS B-1,GCR,Permanent Shutdown,1992,1052.26,2670.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=248
10,UNITED KINGDOM,DUNGENESS B-1,GCR,Permanent Shutdown,1993,3493.16,7138.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=248
11,UNITED KINGDOM,DUNGENESS B-1,GCR,Permanent Shutdown,1994,2385.68,4676.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=248
12,UNITED KINGDOM,DUNGENESS B-1,GCR,Permanent Shutdown,1995,873.72,1587.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=248
13,UNITED KINGDOM,DUNGENESS B-1,GCR,Permanent Shutdown,1996,2516.97,5311.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=248
14,UNITED KINGDOM,DUNGENESS B-1,GCR,Permanent Shutdown,1997,2078.19,4549.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=248
15,UNITED KINGDOM,DUNGENESS B-1,GCR,Permanent Shutdown,1998,2198.3,5716.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=248
16,UNITED KINGDOM,DUNGENESS B-1,GCR,Permanent Shutdown,1999,1584.2,4752.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=248
17,UNITED KINGDOM,DUNGENESS B-1,GCR,Permanent Shutdown,2000,409.64,1201.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=248
18,UNITED KINGDOM,DUNGENESS B-1,GCR,Permanent Shutdown,2001,3049.09,7108.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=248
19,UNITED KINGDOM,DUNGENESS B-1,GCR,Permanent Shutdown,2002,2167.58,5043.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=248
20,UNITED KINGDOM,DUNGENESS B-1,GCR,Permanent Shutdown,2003,2482.86,5212.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=248
21,UNITED KINGDOM,DUNGENESS B-1,GCR,Permanent Shutdown,2004,3082.47,6305.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=248
22,UNITED KINGDOM,DUNGENESS B-1,GCR,Permanent Shutdown,2005,2955.14,6039.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=248
23,UNITED KINGDOM,DUNGENESS B-1,GCR,Permanent Shutdown,2006,2453.84,5246.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=248
24,UNITED KINGDOM,DUNGENESS B-1,GCR,Permanent Shutdown,2007,2981.31,6447.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=248
25,UNITED KINGDOM,DUNGENESS B-1,GCR,Permanent Shutdown,2008,1999.9,4467.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=248
26,UNITED KINGDOM,DUNGENESS B-1,GCR,Permanent Shutdown,2009,1627.03,3527.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=248
27,UNITED KINGDOM,DUNGENESS B-1,GCR,Permanent Shutdown,2010,948.94,3233.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=248
28,UNITED KINGDOM,DUNGENESS B-1,GCR,Permanent Shutdown,2011,655.6,2517.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=248
29,UNITED KINGDOM,DUNGENESS B-1,GCR,Permanent Shutdown,2012,1979.08,4632.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=248
30,UNITED KINGDOM,DUNGENESS B-1,GCR,Permanent Shutdown,2013,2891.06,6215.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=248
31,UNITED KINGDOM,DUNGENESS B-1,GCR,Permanent Shutdown,2014,1641.91,4409.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=248
32,UNITED KINGDOM,DUNGENESS B-1,GCR,Permanent Shutdown,2015,3870.67,7679.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=248
33,UNITED KINGDOM,DUNGENESS B-1,GCR,Permanent Shutdown,2016,3959.17,7786.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=248
