,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
4,FRANCE,EL-4 (MONTS D'ARREE),HWGCR,Permanent Shutdown,1971,176.3,3374.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=217
5,FRANCE,EL-4 (MONTS D'ARREE),HWGCR,Permanent Shutdown,1972,512.8,7106.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=217
6,FRANCE,EL-4 (MONTS D'ARREE),HWGCR,Permanent Shutdown,1973,428.5,6338.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=217
7,FRANCE,EL-4 (MONTS D'ARREE),HWGCR,Permanent Shutdown,1974,550.8,8158.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=217
8,FRANCE,EL-4 (MONTS D'ARREE),HWGCR,Permanent Shutdown,1975,425.2,7661.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=217
9,FRANCE,EL-4 (MONTS D'ARREE),HWGCR,Permanent Shutdown,1976,517.9,7705.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=217
10,FRANCE,EL-4 (MONTS D'ARREE),HWGCR,Permanent Shutdown,1977,478.6,7027.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=217
11,FRANCE,EL-4 (MONTS D'ARREE),HWGCR,Permanent Shutdown,1978,525.7,7542.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=217
12,FRANCE,EL-4 (MONTS D'ARREE),HWGCR,Permanent Shutdown,1979,540.0,7938.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=217
13,FRANCE,EL-4 (MONTS D'ARREE),HWGCR,Permanent Shutdown,1980,523.0,7620.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=217
14,FRANCE,EL-4 (MONTS D'ARREE),HWGCR,Permanent Shutdown,1981,349.0,5166.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=217
15,FRANCE,EL-4 (MONTS D'ARREE),HWGCR,Permanent Shutdown,1982,373.0,5577.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=217
16,FRANCE,EL-4 (MONTS D'ARREE),HWGCR,Permanent Shutdown,1983,222.0,4807.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=217
17,FRANCE,EL-4 (MONTS D'ARREE),HWGCR,Permanent Shutdown,1984,358.0,6202.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=217
18,FRANCE,EL-4 (MONTS D'ARREE),HWGCR,Permanent Shutdown,1985,239.4,4107.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=217
