,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,ARGENTINA,EMBALSE,PHWR,Operational,1983,815.4,2098.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=4
1,ARGENTINA,EMBALSE,PHWR,Operational,1984,2527.07,6355.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=4
2,ARGENTINA,EMBALSE,PHWR,Operational,1985,3778.57,8170.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=4
3,ARGENTINA,EMBALSE,PHWR,Operational,1986,3061.67,5847.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=4
4,ARGENTINA,EMBALSE,PHWR,Operational,1987,4577.05,7951.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=4
5,ARGENTINA,EMBALSE,PHWR,Operational,1988,4560.58,7798.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=4
6,ARGENTINA,EMBALSE,PHWR,Operational,1989,4658.98,7804.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=4
7,ARGENTINA,EMBALSE,PHWR,Operational,1990,5000.74,8404.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=4
8,ARGENTINA,EMBALSE,PHWR,Operational,1991,4498.81,7855.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=4
9,ARGENTINA,EMBALSE,PHWR,Operational,1992,4353.98,7440.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=4
10,ARGENTINA,EMBALSE,PHWR,Operational,1993,4773.27,7956.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=4
11,ARGENTINA,EMBALSE,PHWR,Operational,1994,5157.89,8575.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=4
12,ARGENTINA,EMBALSE,PHWR,Operational,1995,3897.91,6541.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=4
13,ARGENTINA,EMBALSE,PHWR,Operational,1996,4891.97,8176.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=4
14,ARGENTINA,EMBALSE,PHWR,Operational,1997,4737.03,7821.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=4
15,ARGENTINA,EMBALSE,PHWR,Operational,1998,4555.43,7629.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=4
16,ARGENTINA,EMBALSE,PHWR,Operational,1999,5201.79,8700.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=4
17,ARGENTINA,EMBALSE,PHWR,Operational,2000,4064.48,6837.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=4
18,ARGENTINA,EMBALSE,PHWR,Operational,2001,5128.11,8564.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=4
19,ARGENTINA,EMBALSE,PHWR,Operational,2002,4385.52,7401.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=4
20,ARGENTINA,EMBALSE,PHWR,Operational,2003,5004.14,8367.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=4
21,ARGENTINA,EMBALSE,PHWR,Operational,2004,4589.57,7704.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=4
22,ARGENTINA,EMBALSE,PHWR,Operational,2005,4372.48,7341.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=4
23,ARGENTINA,EMBALSE,PHWR,Operational,2006,5052.1,8455.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=4
24,ARGENTINA,EMBALSE,PHWR,Operational,2007,4003.72,6771.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=4
25,ARGENTINA,EMBALSE,PHWR,Operational,2008,4368.61,7382.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=4
26,ARGENTINA,EMBALSE,PHWR,Operational,2009,5192.43,8705.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=4
27,ARGENTINA,EMBALSE,PHWR,Operational,2010,3908.69,6701.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=4
28,ARGENTINA,EMBALSE,PHWR,Operational,2011,3559.35,7405.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=4
29,ARGENTINA,EMBALSE,PHWR,Operational,2012,3425.53,7214.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=4
30,ARGENTINA,EMBALSE,PHWR,Operational,2013,3285.69,6841.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=4
31,ARGENTINA,EMBALSE,PHWR,Operational,2014,1533.11,3678.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=4
32,ARGENTINA,EMBALSE,PHWR,Operational,2015,641.36,1564.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=4
33,ARGENTINA,EMBALSE,PHWR,Operational,2016,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=4
34,ARGENTINA,EMBALSE,PHWR,Operational,2017,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=4
35,ARGENTINA,EMBALSE,PHWR,Operational,2018,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=4
36,ARGENTINA,EMBALSE,PHWR,Operational,2019,3786.17,7051.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=4
37,ARGENTINA,EMBALSE,PHWR,Operational,2020,4910.14,8447.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=4
38,ARGENTINA,EMBALSE,PHWR,Operational,2021,4340.06,7227.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=4
39,ARGENTINA,EMBALSE,PHWR,Operational,2022,4176.48,6993.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=4
40,ARGENTINA,EMBALSE,PHWR,Operational,2023,5224.06,8660.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=4
41,ARGENTINA,EMBALSE,PHWR,Operational,2024,4281.61,7128.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=4
