,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,GERMANY,EMSLAND,PWR,Permanent Shutdown,1988,5694.91,4516.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=108
1,GERMANY,EMSLAND,PWR,Permanent Shutdown,1989,9857.21,7794.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=108
2,GERMANY,EMSLAND,PWR,Permanent Shutdown,1990,10039.24,7956.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=108
3,GERMANY,EMSLAND,PWR,Permanent Shutdown,1991,9287.28,7304.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=108
4,GERMANY,EMSLAND,PWR,Permanent Shutdown,1992,10158.05,7933.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=108
5,GERMANY,EMSLAND,PWR,Permanent Shutdown,1993,10477.1,8147.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=108
6,GERMANY,EMSLAND,PWR,Permanent Shutdown,1994,10526.69,8193.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=108
7,GERMANY,EMSLAND,PWR,Permanent Shutdown,1995,10495.72,8168.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=108
8,GERMANY,EMSLAND,PWR,Permanent Shutdown,1996,10557.29,8195.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=108
9,GERMANY,EMSLAND,PWR,Permanent Shutdown,1997,10650.19,8298.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=108
10,GERMANY,EMSLAND,PWR,Permanent Shutdown,1998,10794.75,8388.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=108
11,GERMANY,EMSLAND,PWR,Permanent Shutdown,1999,10729.18,8413.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=108
12,GERMANY,EMSLAND,PWR,Permanent Shutdown,2000,10801.99,8339.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=108
13,GERMANY,EMSLAND,PWR,Permanent Shutdown,2001,10933.15,8257.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=108
14,GERMANY,EMSLAND,PWR,Permanent Shutdown,2002,11242.3,8497.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=108
15,GERMANY,EMSLAND,PWR,Permanent Shutdown,2003,11096.98,8401.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=108
16,GERMANY,EMSLAND,PWR,Permanent Shutdown,2004,11147.2,8456.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=108
17,GERMANY,EMSLAND,PWR,Permanent Shutdown,2005,10887.83,8239.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=108
18,GERMANY,EMSLAND,PWR,Permanent Shutdown,2006,11147.6,8461.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=108
19,GERMANY,EMSLAND,PWR,Permanent Shutdown,2007,10989.22,8311.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=108
20,GERMANY,EMSLAND,PWR,Permanent Shutdown,2008,10896.15,8211.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=108
21,GERMANY,EMSLAND,PWR,Permanent Shutdown,2009,10849.24,8194.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=108
22,GERMANY,EMSLAND,PWR,Permanent Shutdown,2010,10977.96,8286.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=108
23,GERMANY,EMSLAND,PWR,Permanent Shutdown,2011,11055.52,8339.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=108
24,GERMANY,EMSLAND,PWR,Permanent Shutdown,2012,10847.66,8314.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=108
25,GERMANY,EMSLAND,PWR,Permanent Shutdown,2013,10912.11,8328.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=108
26,GERMANY,EMSLAND,PWR,Permanent Shutdown,2014,10954.9,8341.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=108
27,GERMANY,EMSLAND,PWR,Permanent Shutdown,2015,10396.15,7980.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=108
28,GERMANY,EMSLAND,PWR,Permanent Shutdown,2016,10539.68,8279.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=108
29,GERMANY,EMSLAND,PWR,Permanent Shutdown,2017,10751.53,8171.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=108
30,GERMANY,EMSLAND,PWR,Permanent Shutdown,2018,10915.03,8303.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=108
31,GERMANY,EMSLAND,PWR,Permanent Shutdown,2019,10237.09,7814.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=108
32,GERMANY,EMSLAND,PWR,Permanent Shutdown,2020,10836.45,8242.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=108
33,GERMANY,EMSLAND,PWR,Permanent Shutdown,2021,10779.48,8360.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=108
34,GERMANY,EMSLAND,PWR,Permanent Shutdown,2022,9846.05,8311.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=108
35,GERMANY,EMSLAND,PWR,Permanent Shutdown,2023,2103.9,2167.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=108
