,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
6,ITALY,ENRICO FERMI,PWR,Permanent Shutdown,1970,1243.0,5723.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=326
7,ITALY,ENRICO FERMI,PWR,Permanent Shutdown,1971,1355.4,6000.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=326
8,ITALY,ENRICO FERMI,PWR,Permanent Shutdown,1972,1985.4,8475.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=326
9,ITALY,ENRICO FERMI,PWR,Permanent Shutdown,1973,1357.0,6324.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=326
10,ITALY,ENRICO FERMI,PWR,Permanent Shutdown,1974,1560.1,7079.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=326
11,ITALY,ENRICO FERMI,PWR,Permanent Shutdown,1975,2207.4,8706.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=326
12,ITALY,ENRICO FERMI,PWR,Permanent Shutdown,1976,1514.4,6591.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=326
13,ITALY,ENRICO FERMI,PWR,Permanent Shutdown,1977,1826.0,6952.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=326
14,ITALY,ENRICO FERMI,PWR,Permanent Shutdown,1978,2094.9,8401.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=326
15,ITALY,ENRICO FERMI,PWR,Permanent Shutdown,1979,705.0,3175.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=326
16,ITALY,ENRICO FERMI,PWR,Permanent Shutdown,1980,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=326
17,ITALY,ENRICO FERMI,PWR,Permanent Shutdown,1981,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=326
18,ITALY,ENRICO FERMI,PWR,Permanent Shutdown,1982,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=326
19,ITALY,ENRICO FERMI,PWR,Permanent Shutdown,1983,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=326
20,ITALY,ENRICO FERMI,PWR,Permanent Shutdown,1984,1631.0,6415.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=326
21,ITALY,ENRICO FERMI,PWR,Permanent Shutdown,1985,1295.3,5752.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=326
22,ITALY,ENRICO FERMI,PWR,Permanent Shutdown,1986,2016.2,8417.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=326
23,ITALY,ENRICO FERMI,PWR,Permanent Shutdown,1987,159.0,1903.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=326
24,ITALY,ENRICO FERMI,PWR,Permanent Shutdown,1988,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=326
25,ITALY,ENRICO FERMI,PWR,Permanent Shutdown,1989,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=326
26,ITALY,ENRICO FERMI,PWR,Permanent Shutdown,1990,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=326
