,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,CHINA,FANGCHENGGANG-1,PWR,Operational,2015,660.8,1034.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=943
1,CHINA,FANGCHENGGANG-1,PWR,Operational,2016,7141.83,7761.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=943
2,CHINA,FANGCHENGGANG-1,PWR,Operational,2017,5212.98,5794.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=943
3,CHINA,FANGCHENGGANG-1,PWR,Operational,2018,7425.87,7622.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=943
4,CHINA,FANGCHENGGANG-1,PWR,Operational,2019,8540.31,8736.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=943
5,CHINA,FANGCHENGGANG-1,PWR,Operational,2020,7919.2,8140.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=943
6,CHINA,FANGCHENGGANG-1,PWR,Operational,2021,8168.79,8179.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=943
7,CHINA,FANGCHENGGANG-1,PWR,Operational,2022,8414.6,8499.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=943
8,CHINA,FANGCHENGGANG-1,PWR,Operational,2023,7940.89,8098.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=943
9,CHINA,FANGCHENGGANG-1,PWR,Operational,2024,7632.5,7955.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=943
