,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,CHINA,FANGJIASHAN-1,PWR,Operational,2014,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=912
1,CHINA,FANGJIASHAN-1,PWR,Operational,2015,7180.23,7289.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=912
2,CHINA,FANGJIASHAN-1,PWR,Operational,2016,7827.38,7910.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=912
3,CHINA,FANGJIASHAN-1,PWR,Operational,2017,7628.57,7676.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=912
4,CHINA,FANGJIASHAN-1,PWR,Operational,2018,8761.17,8732.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=912
5,CHINA,FANGJIASHAN-1,PWR,Operational,2019,7992.84,8048.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=912
6,CHINA,FANGJIASHAN-1,PWR,Operational,2020,7214.92,7218.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=912
7,CHINA,FANGJIASHAN-1,PWR,Operational,2021,8862.47,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=912
8,CHINA,FANGJIASHAN-1,PWR,Operational,2022,8212.68,8150.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=912
9,CHINA,FANGJIASHAN-1,PWR,Operational,2023,8364.58,8297.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=912
10,CHINA,FANGJIASHAN-1,PWR,Operational,2024,8858.04,8784.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=912
