,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,UNITED STATES OF AMERICA,FARLEY-1,PWR,Operational,1977,1047.9,1747.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=677
1,UNITED STATES OF AMERICA,FARLEY-1,PWR,Operational,1978,5919.8,7568.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=677
2,UNITED STATES OF AMERICA,FARLEY-1,PWR,Operational,1979,1732.4,2502.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=677
3,UNITED STATES OF AMERICA,FARLEY-1,PWR,Operational,1980,4607.8,6110.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=677
4,UNITED STATES OF AMERICA,FARLEY-1,PWR,Operational,1981,2653.0,3624.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=677
5,UNITED STATES OF AMERICA,FARLEY-1,PWR,Operational,1982,5233.3,6936.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=677
6,UNITED STATES OF AMERICA,FARLEY-1,PWR,Operational,1983,5268.6,6832.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=677
7,UNITED STATES OF AMERICA,FARLEY-1,PWR,Operational,1984,5432.66,6920.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=677
8,UNITED STATES OF AMERICA,FARLEY-1,PWR,Operational,1985,5868.67,7378.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=677
9,UNITED STATES OF AMERICA,FARLEY-1,PWR,Operational,1986,5738.56,7247.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=677
10,UNITED STATES OF AMERICA,FARLEY-1,PWR,Operational,1987,6444.86,8201.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=677
11,UNITED STATES OF AMERICA,FARLEY-1,PWR,Operational,1988,5908.21,7363.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=677
12,UNITED STATES OF AMERICA,FARLEY-1,PWR,Operational,1989,6022.64,7520.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=677
13,UNITED STATES OF AMERICA,FARLEY-1,PWR,Operational,1990,6908.57,8681.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=677
14,UNITED STATES OF AMERICA,FARLEY-1,PWR,Operational,1991,5416.06,6870.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=677
15,UNITED STATES OF AMERICA,FARLEY-1,PWR,Operational,1992,5667.94,7119.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=677
16,UNITED STATES OF AMERICA,FARLEY-1,PWR,Operational,1993,6873.9,8522.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=677
17,UNITED STATES OF AMERICA,FARLEY-1,PWR,Operational,1994,6059.84,7546.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=677
18,UNITED STATES OF AMERICA,FARLEY-1,PWR,Operational,1995,5751.98,7220.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=677
19,UNITED STATES OF AMERICA,FARLEY-1,PWR,Operational,1996,7142.3,8740.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=677
20,UNITED STATES OF AMERICA,FARLEY-1,PWR,Operational,1997,5433.98,6803.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=677
21,UNITED STATES OF AMERICA,FARLEY-1,PWR,Operational,1998,5237.94,6539.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=677
22,UNITED STATES OF AMERICA,FARLEY-1,PWR,Operational,1999,7226.52,8695.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=677
23,UNITED STATES OF AMERICA,FARLEY-1,PWR,Operational,2000,5204.09,6775.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=677
24,UNITED STATES OF AMERICA,FARLEY-1,PWR,Operational,2001,6392.53,7736.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=677
25,UNITED STATES OF AMERICA,FARLEY-1,PWR,Operational,2002,7221.79,8641.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=677
26,UNITED STATES OF AMERICA,FARLEY-1,PWR,Operational,2003,6609.9,7909.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=677
27,UNITED STATES OF AMERICA,FARLEY-1,PWR,Operational,2004,6423.88,7627.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=677
28,UNITED STATES OF AMERICA,FARLEY-1,PWR,Operational,2005,7402.19,8709.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=677
29,UNITED STATES OF AMERICA,FARLEY-1,PWR,Operational,2006,6419.32,7578.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=677
30,UNITED STATES OF AMERICA,FARLEY-1,PWR,Operational,2007,6530.77,7663.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=677
31,UNITED STATES OF AMERICA,FARLEY-1,PWR,Operational,2008,7281.47,8579.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=677
32,UNITED STATES OF AMERICA,FARLEY-1,PWR,Operational,2009,6711.12,7922.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=677
33,UNITED STATES OF AMERICA,FARLEY-1,PWR,Operational,2010,6577.44,7806.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=677
34,UNITED STATES OF AMERICA,FARLEY-1,PWR,Operational,2011,7764.3,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=677
35,UNITED STATES OF AMERICA,FARLEY-1,PWR,Operational,2012,6929.42,7967.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=677
36,UNITED STATES OF AMERICA,FARLEY-1,PWR,Operational,2013,7021.41,8033.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=677
37,UNITED STATES OF AMERICA,FARLEY-1,PWR,Operational,2014,7777.43,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=677
38,UNITED STATES OF AMERICA,FARLEY-1,PWR,Operational,2015,6680.66,7652.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=677
39,UNITED STATES OF AMERICA,FARLEY-1,PWR,Operational,2016,6684.05,7617.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=677
40,UNITED STATES OF AMERICA,FARLEY-1,PWR,Operational,2017,7750.07,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=677
41,UNITED STATES OF AMERICA,FARLEY-1,PWR,Operational,2018,6409.66,7567.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=677
42,UNITED STATES OF AMERICA,FARLEY-1,PWR,Operational,2019,7003.19,7993.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=677
