,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
2,UNITED STATES OF AMERICA,FERMI-2,BWR,Operational,1988,4060.06,4719.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=674
3,UNITED STATES OF AMERICA,FERMI-2,BWR,Operational,1989,5230.72,5575.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=674
4,UNITED STATES OF AMERICA,FERMI-2,BWR,Operational,1990,7118.28,7266.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=674
5,UNITED STATES OF AMERICA,FERMI-2,BWR,Operational,1991,6180.93,6466.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=674
6,UNITED STATES OF AMERICA,FERMI-2,BWR,Operational,1992,7356.77,7019.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=674
7,UNITED STATES OF AMERICA,FERMI-2,BWR,Operational,1993,8284.71,8076.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=674
8,UNITED STATES OF AMERICA,FERMI-2,BWR,Operational,1994,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=674
9,UNITED STATES OF AMERICA,FERMI-2,BWR,Operational,1995,5132.02,6509.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=674
10,UNITED STATES OF AMERICA,FERMI-2,BWR,Operational,1996,4790.02,5859.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=674
11,UNITED STATES OF AMERICA,FERMI-2,BWR,Operational,1997,5579.95,5461.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=674
12,UNITED STATES OF AMERICA,FERMI-2,BWR,Operational,1998,7146.77,6868.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=674
13,UNITED STATES OF AMERICA,FERMI-2,BWR,Operational,1999,9484.66,8698.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=674
14,UNITED STATES OF AMERICA,FERMI-2,BWR,Operational,2000,8237.8,7514.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=674
15,UNITED STATES OF AMERICA,FERMI-2,BWR,Operational,2001,8564.03,7837.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=674
16,UNITED STATES OF AMERICA,FERMI-2,BWR,Operational,2002,9302.88,8630.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=674
17,UNITED STATES OF AMERICA,FERMI-2,BWR,Operational,2003,8127.82,7479.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=674
18,UNITED STATES OF AMERICA,FERMI-2,BWR,Operational,2004,8453.11,7764.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=674
19,UNITED STATES OF AMERICA,FERMI-2,BWR,Operational,2005,8767.61,7955.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=674
20,UNITED STATES OF AMERICA,FERMI-2,BWR,Operational,2006,7497.33,7095.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=674
21,UNITED STATES OF AMERICA,FERMI-2,BWR,Operational,2007,8318.37,7542.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=674
22,UNITED STATES OF AMERICA,FERMI-2,BWR,Operational,2008,9614.34,8706.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=674
23,UNITED STATES OF AMERICA,FERMI-2,BWR,Operational,2009,7424.68,6855.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=674
24,UNITED STATES OF AMERICA,FERMI-2,BWR,Operational,2010,7743.27,7373.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=674
25,UNITED STATES OF AMERICA,FERMI-2,BWR,Operational,2011,8916.72,8334.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=674
26,UNITED STATES OF AMERICA,FERMI-2,BWR,Operational,2012,5176.46,5562.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=674
27,UNITED STATES OF AMERICA,FERMI-2,BWR,Operational,2013,6609.5,8063.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=674
28,UNITED STATES OF AMERICA,FERMI-2,BWR,Operational,2014,7809.5,7311.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=674
29,UNITED STATES OF AMERICA,FERMI-2,BWR,Operational,2015,7346.14,6551.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=674
30,UNITED STATES OF AMERICA,FERMI-2,BWR,Operational,2016,9153.92,8396.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=674
31,UNITED STATES OF AMERICA,FERMI-2,BWR,Operational,2017,8698.33,7952.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=674
32,UNITED STATES OF AMERICA,FERMI-2,BWR,Operational,2018,7438.8,6773.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=674
33,UNITED STATES OF AMERICA,FERMI-2,BWR,Operational,2019,9886.26,8743.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=674
34,UNITED STATES OF AMERICA,FERMI-2,BWR,Operational,2020,6070.78,5475.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=674
35,UNITED STATES OF AMERICA,FERMI-2,BWR,Operational,2021,9572.97,8574.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=674
36,UNITED STATES OF AMERICA,FERMI-2,BWR,Operational,2022,6681.7,6332.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=674
37,UNITED STATES OF AMERICA,FERMI-2,BWR,Operational,2023,9366.83,8303.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=674
38,UNITED STATES OF AMERICA,FERMI-2,BWR,Operational,2024,8267.52,7470.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=674
