,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,FRANCE,FESSENHEIM-1,PWR,Permanent Shutdown,1977,932.4,2019.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=163
1,FRANCE,FESSENHEIM-1,PWR,Permanent Shutdown,1978,6079.2,7302.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=163
2,FRANCE,FESSENHEIM-1,PWR,Permanent Shutdown,1979,4542.0,5338.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=163
3,FRANCE,FESSENHEIM-1,PWR,Permanent Shutdown,1980,5510.0,6350.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=163
4,FRANCE,FESSENHEIM-1,PWR,Permanent Shutdown,1981,5065.3,5844.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=163
5,FRANCE,FESSENHEIM-1,PWR,Permanent Shutdown,1982,1848.2,2138.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=163
6,FRANCE,FESSENHEIM-1,PWR,Permanent Shutdown,1983,5690.0,6701.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=163
7,FRANCE,FESSENHEIM-1,PWR,Permanent Shutdown,1984,6503.0,7731.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=163
8,FRANCE,FESSENHEIM-1,PWR,Permanent Shutdown,1985,6044.6,7105.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=163
9,FRANCE,FESSENHEIM-1,PWR,Permanent Shutdown,1986,5661.3,6702.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=163
10,FRANCE,FESSENHEIM-1,PWR,Permanent Shutdown,1987,5029.6,6147.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=163
11,FRANCE,FESSENHEIM-1,PWR,Permanent Shutdown,1988,5399.0,7069.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=163
12,FRANCE,FESSENHEIM-1,PWR,Permanent Shutdown,1989,3253.33,4108.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=163
13,FRANCE,FESSENHEIM-1,PWR,Permanent Shutdown,1990,5036.69,6481.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=163
14,FRANCE,FESSENHEIM-1,PWR,Permanent Shutdown,1991,4053.54,4900.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=163
15,FRANCE,FESSENHEIM-1,PWR,Permanent Shutdown,1992,4867.06,6079.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=163
16,FRANCE,FESSENHEIM-1,PWR,Permanent Shutdown,1993,5548.68,7161.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=163
17,FRANCE,FESSENHEIM-1,PWR,Permanent Shutdown,1994,6186.14,7508.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=163
18,FRANCE,FESSENHEIM-1,PWR,Permanent Shutdown,1995,5856.09,6990.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=163
19,FRANCE,FESSENHEIM-1,PWR,Permanent Shutdown,1996,6164.97,7544.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=163
20,FRANCE,FESSENHEIM-1,PWR,Permanent Shutdown,1997,5826.79,7209.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=163
21,FRANCE,FESSENHEIM-1,PWR,Permanent Shutdown,1998,4617.05,5727.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=163
22,FRANCE,FESSENHEIM-1,PWR,Permanent Shutdown,1999,5228.79,6283.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=163
23,FRANCE,FESSENHEIM-1,PWR,Permanent Shutdown,2000,5782.65,7145.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=163
24,FRANCE,FESSENHEIM-1,PWR,Permanent Shutdown,2001,5507.53,7095.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=163
25,FRANCE,FESSENHEIM-1,PWR,Permanent Shutdown,2002,2989.75,3832.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=163
