,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,UNITED STATES OF AMERICA,FITZPATRICK,BWR,Operational,1975,2153.7,4369.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=668
1,UNITED STATES OF AMERICA,FITZPATRICK,BWR,Operational,1976,4156.4,6284.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=668
2,UNITED STATES OF AMERICA,FITZPATRICK,BWR,Operational,1977,3893.4,5986.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=668
3,UNITED STATES OF AMERICA,FITZPATRICK,BWR,Operational,1978,4197.4,6311.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=668
4,UNITED STATES OF AMERICA,FITZPATRICK,BWR,Operational,1979,2964.7,4450.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=668
5,UNITED STATES OF AMERICA,FITZPATRICK,BWR,Operational,1980,4334.1,6162.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=668
6,UNITED STATES OF AMERICA,FITZPATRICK,BWR,Operational,1981,4779.7,6539.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=668
7,UNITED STATES OF AMERICA,FITZPATRICK,BWR,Operational,1982,4959.7,6570.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=668
8,UNITED STATES OF AMERICA,FITZPATRICK,BWR,Operational,1983,4634.3,6183.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=668
9,UNITED STATES OF AMERICA,FITZPATRICK,BWR,Operational,1984,4899.36,6745.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=668
10,UNITED STATES OF AMERICA,FITZPATRICK,BWR,Operational,1985,4166.52,5576.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=668
11,UNITED STATES OF AMERICA,FITZPATRICK,BWR,Operational,1986,6015.61,7931.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=668
12,UNITED STATES OF AMERICA,FITZPATRICK,BWR,Operational,1987,4198.34,5891.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=668
13,UNITED STATES OF AMERICA,FITZPATRICK,BWR,Operational,1988,4356.87,5844.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=668
14,UNITED STATES OF AMERICA,FITZPATRICK,BWR,Operational,1989,6155.35,7944.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=668
15,UNITED STATES OF AMERICA,FITZPATRICK,BWR,Operational,1990,4601.93,6045.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=668
16,UNITED STATES OF AMERICA,FITZPATRICK,BWR,Operational,1991,3376.75,4534.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=668
17,UNITED STATES OF AMERICA,FITZPATRICK,BWR,Operational,1992,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=668
18,UNITED STATES OF AMERICA,FITZPATRICK,BWR,Operational,1993,4746.46,6301.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=668
19,UNITED STATES OF AMERICA,FITZPATRICK,BWR,Operational,1994,4972.63,7224.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=668
20,UNITED STATES OF AMERICA,FITZPATRICK,BWR,Operational,1995,4804.03,6336.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=668
21,UNITED STATES OF AMERICA,FITZPATRICK,BWR,Operational,1996,5290.38,7036.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=668
22,UNITED STATES OF AMERICA,FITZPATRICK,BWR,Operational,1997,6624.58,8310.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=668
23,UNITED STATES OF AMERICA,FITZPATRICK,BWR,Operational,1998,4930.5,6613.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=668
