,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,FRANCE,FLAMANVILLE-2,PWR,Operational,1986,1665.0,1915.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=203
1,FRANCE,FLAMANVILLE-2,PWR,Operational,1987,7140.2,6310.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=203
2,FRANCE,FLAMANVILLE-2,PWR,Operational,1988,7106.0,5674.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=203
3,FRANCE,FLAMANVILLE-2,PWR,Operational,1989,4824.5,3836.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=203
4,FRANCE,FLAMANVILLE-2,PWR,Operational,1990,7819.6,6392.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=203
5,FRANCE,FLAMANVILLE-2,PWR,Operational,1991,7965.71,6432.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=203
6,FRANCE,FLAMANVILLE-2,PWR,Operational,1992,8842.44,6962.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=203
7,FRANCE,FLAMANVILLE-2,PWR,Operational,1993,7985.2,6338.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=203
8,FRANCE,FLAMANVILLE-2,PWR,Operational,1994,8384.27,6711.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=203
9,FRANCE,FLAMANVILLE-2,PWR,Operational,1995,8962.41,7264.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=203
10,FRANCE,FLAMANVILLE-2,PWR,Operational,1996,9387.5,7685.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=203
11,FRANCE,FLAMANVILLE-2,PWR,Operational,1997,8546.04,7351.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=203
12,FRANCE,FLAMANVILLE-2,PWR,Operational,1998,5656.61,4880.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=203
13,FRANCE,FLAMANVILLE-2,PWR,Operational,1999,7248.9,6034.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=203
14,FRANCE,FLAMANVILLE-2,PWR,Operational,2000,9907.94,8122.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=203
15,FRANCE,FLAMANVILLE-2,PWR,Operational,2001,8565.1,6863.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=203
16,FRANCE,FLAMANVILLE-2,PWR,Operational,2002,8502.35,6839.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=203
17,FRANCE,FLAMANVILLE-2,PWR,Operational,2003,10065.35,8365.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=203
18,FRANCE,FLAMANVILLE-2,PWR,Operational,2004,7499.84,6125.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=203
19,FRANCE,FLAMANVILLE-2,PWR,Operational,2005,9779.11,7894.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=203
20,FRANCE,FLAMANVILLE-2,PWR,Operational,2006,10125.81,8438.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=203
21,FRANCE,FLAMANVILLE-2,PWR,Operational,2007,8063.02,7021.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=203
22,FRANCE,FLAMANVILLE-2,PWR,Operational,2008,6140.92,5052.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=203
23,FRANCE,FLAMANVILLE-2,PWR,Operational,2009,9531.78,8016.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=203
24,FRANCE,FLAMANVILLE-2,PWR,Operational,2010,7594.3,6329.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=203
25,FRANCE,FLAMANVILLE-2,PWR,Operational,2011,9342.7,7438.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=203
26,FRANCE,FLAMANVILLE-2,PWR,Operational,2012,10359.02,8733.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=203
27,FRANCE,FLAMANVILLE-2,PWR,Operational,2013,7631.58,6183.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=203
28,FRANCE,FLAMANVILLE-2,PWR,Operational,2014,9693.92,7610.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=203
29,FRANCE,FLAMANVILLE-2,PWR,Operational,2015,7869.45,6149.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=203
30,FRANCE,FLAMANVILLE-2,PWR,Operational,2016,9880.46,8013.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=203
31,FRANCE,FLAMANVILLE-2,PWR,Operational,2017,7646.67,6107.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=203
32,FRANCE,FLAMANVILLE-2,PWR,Operational,2018,10350.78,8415.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=203
33,FRANCE,FLAMANVILLE-2,PWR,Operational,2019,236.76,217.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=203
34,FRANCE,FLAMANVILLE-2,PWR,Operational,2020,404.48,479.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=203
35,FRANCE,FLAMANVILLE-2,PWR,Operational,2021,10791.47,8547.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=203
36,FRANCE,FLAMANVILLE-2,PWR,Operational,2022,1910.62,1577.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=203
37,FRANCE,FLAMANVILLE-2,PWR,Operational,2023,8993.91,7489.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=203
38,FRANCE,FLAMANVILLE-2,PWR,Operational,2024,4831.74,3832.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=203
