,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,SWEDEN,FORSMARK-2,BWR,Operational,1981,2870.7,3977.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=530
1,SWEDEN,FORSMARK-2,BWR,Operational,1982,5316.4,6076.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=530
2,SWEDEN,FORSMARK-2,BWR,Operational,1983,5484.4,7879.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=530
3,SWEDEN,FORSMARK-2,BWR,Operational,1984,5911.73,7442.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=530
4,SWEDEN,FORSMARK-2,BWR,Operational,1985,5735.38,8048.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=530
5,SWEDEN,FORSMARK-2,BWR,Operational,1986,6987.86,8231.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=530
6,SWEDEN,FORSMARK-2,BWR,Operational,1987,6553.84,8190.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=530
7,SWEDEN,FORSMARK-2,BWR,Operational,1988,6976.19,8032.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=530
8,SWEDEN,FORSMARK-2,BWR,Operational,1989,5943.42,8222.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=530
9,SWEDEN,FORSMARK-2,BWR,Operational,1990,6426.24,8119.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=530
10,SWEDEN,FORSMARK-2,BWR,Operational,1991,7155.18,8084.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=530
11,SWEDEN,FORSMARK-2,BWR,Operational,1992,6748.91,8294.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=530
12,SWEDEN,FORSMARK-2,BWR,Operational,1993,6715.51,7684.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=530
13,SWEDEN,FORSMARK-2,BWR,Operational,1994,7679.45,8194.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=530
14,SWEDEN,FORSMARK-2,BWR,Operational,1995,7149.21,8144.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=530
15,SWEDEN,FORSMARK-2,BWR,Operational,1996,7348.24,8135.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=530
16,SWEDEN,FORSMARK-2,BWR,Operational,1997,7325.29,7927.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=530
17,SWEDEN,FORSMARK-2,BWR,Operational,1998,7198.57,8240.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=530
18,SWEDEN,FORSMARK-2,BWR,Operational,1999,7292.27,8117.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=530
19,SWEDEN,FORSMARK-2,BWR,Operational,2000,5428.1,6939.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=530
20,SWEDEN,FORSMARK-2,BWR,Operational,2001,7399.55,8321.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=530
21,SWEDEN,FORSMARK-2,BWR,Operational,2002,6823.89,8155.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=530
22,SWEDEN,FORSMARK-2,BWR,Operational,2003,7303.88,7916.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=530
23,SWEDEN,FORSMARK-2,BWR,Operational,2004,7982.2,8529.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=530
24,SWEDEN,FORSMARK-2,BWR,Operational,2005,7790.11,8348.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=530
25,SWEDEN,FORSMARK-2,BWR,Operational,2006,6011.87,6426.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=530
26,SWEDEN,FORSMARK-2,BWR,Operational,2007,7470.12,7750.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=530
