,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,UNITED STATES OF AMERICA,FORT CALHOUN-1,PWR,Permanent Shutdown,1973,602.3,2795.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=634
1,UNITED STATES OF AMERICA,FORT CALHOUN-1,PWR,Permanent Shutdown,1974,2416.3,7304.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=634
2,UNITED STATES OF AMERICA,FORT CALHOUN-1,PWR,Permanent Shutdown,1975,2080.8,5905.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=634
3,UNITED STATES OF AMERICA,FORT CALHOUN-1,PWR,Permanent Shutdown,1976,2195.5,6101.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=634
4,UNITED STATES OF AMERICA,FORT CALHOUN-1,PWR,Permanent Shutdown,1977,2922.7,6958.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=634
5,UNITED STATES OF AMERICA,FORT CALHOUN-1,PWR,Permanent Shutdown,1978,2849.4,6580.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=634
6,UNITED STATES OF AMERICA,FORT CALHOUN-1,PWR,Permanent Shutdown,1979,3666.1,8382.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=634
7,UNITED STATES OF AMERICA,FORT CALHOUN-1,PWR,Permanent Shutdown,1980,2010.3,5307.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=634
8,UNITED STATES OF AMERICA,FORT CALHOUN-1,PWR,Permanent Shutdown,1981,2149.7,6327.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=634
9,UNITED STATES OF AMERICA,FORT CALHOUN-1,PWR,Permanent Shutdown,1982,3482.1,7856.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=634
10,UNITED STATES OF AMERICA,FORT CALHOUN-1,PWR,Permanent Shutdown,1983,2749.9,6404.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=634
11,UNITED STATES OF AMERICA,FORT CALHOUN-1,PWR,Permanent Shutdown,1984,2331.77,5262.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=634
12,UNITED STATES OF AMERICA,FORT CALHOUN-1,PWR,Permanent Shutdown,1985,3066.25,6454.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=634
13,UNITED STATES OF AMERICA,FORT CALHOUN-1,PWR,Permanent Shutdown,1986,3605.56,8263.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=634
14,UNITED STATES OF AMERICA,FORT CALHOUN-1,PWR,Permanent Shutdown,1987,3060.62,6531.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=634
15,UNITED STATES OF AMERICA,FORT CALHOUN-1,PWR,Permanent Shutdown,1988,2627.42,6496.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=634
16,UNITED STATES OF AMERICA,FORT CALHOUN-1,PWR,Permanent Shutdown,1989,3296.05,7589.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=634
17,UNITED STATES OF AMERICA,FORT CALHOUN-1,PWR,Permanent Shutdown,1990,2417.22,5420.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=634
18,UNITED STATES OF AMERICA,FORT CALHOUN-1,PWR,Permanent Shutdown,1991,3248.97,7946.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=634
19,UNITED STATES OF AMERICA,FORT CALHOUN-1,PWR,Permanent Shutdown,1992,2537.13,5683.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=634
20,UNITED STATES OF AMERICA,FORT CALHOUN-1,PWR,Permanent Shutdown,1993,3102.17,6996.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=634
21,UNITED STATES OF AMERICA,FORT CALHOUN-1,PWR,Permanent Shutdown,1994,4118.72,8711.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=634
22,UNITED STATES OF AMERICA,FORT CALHOUN-1,PWR,Permanent Shutdown,1995,3365.57,7204.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=634
23,UNITED STATES OF AMERICA,FORT CALHOUN-1,PWR,Permanent Shutdown,1996,3128.75,6886.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=634
24,UNITED STATES OF AMERICA,FORT CALHOUN-1,PWR,Permanent Shutdown,1997,3818.23,8131.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=634
