,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,UNITED STATES OF AMERICA,FORT ST. VRAIN,HTGR,Permanent Shutdown,1976,17.5,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=623
1,UNITED STATES OF AMERICA,FORT ST. VRAIN,HTGR,Permanent Shutdown,1977,226.1,2930.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=623
2,UNITED STATES OF AMERICA,FORT ST. VRAIN,HTGR,Permanent Shutdown,1978,609.2,4505.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=623
3,UNITED STATES OF AMERICA,FORT ST. VRAIN,HTGR,Permanent Shutdown,1979,224.8,1640.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=623
4,UNITED STATES OF AMERICA,FORT ST. VRAIN,HTGR,Permanent Shutdown,1980,675.2,4707.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=623
5,UNITED STATES OF AMERICA,FORT ST. VRAIN,HTGR,Permanent Shutdown,1981,755.0,4210.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=623
6,UNITED STATES OF AMERICA,FORT ST. VRAIN,HTGR,Permanent Shutdown,1982,589.3,3263.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=623
7,UNITED STATES OF AMERICA,FORT ST. VRAIN,HTGR,Permanent Shutdown,1983,760.0,4626.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=623
8,UNITED STATES OF AMERICA,FORT ST. VRAIN,HTGR,Permanent Shutdown,1984,84.33,659.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=623
9,UNITED STATES OF AMERICA,FORT ST. VRAIN,HTGR,Permanent Shutdown,1985,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=623
10,UNITED STATES OF AMERICA,FORT ST. VRAIN,HTGR,Permanent Shutdown,1986,76.07,1086.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=623
11,UNITED STATES OF AMERICA,FORT ST. VRAIN,HTGR,Permanent Shutdown,1987,187.97,2028.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=623
12,UNITED STATES OF AMERICA,FORT ST. VRAIN,HTGR,Permanent Shutdown,1988,672.99,3486.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=623
13,UNITED STATES OF AMERICA,FORT ST. VRAIN,HTGR,Permanent Shutdown,1989,541.29,2703.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=623
