,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,JAPAN,FUGEN ATR,HWLWR,Permanent Shutdown,1978,144.33,1793.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=345
1,JAPAN,FUGEN ATR,HWLWR,Permanent Shutdown,1979,1009.6,7322.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=345
2,JAPAN,FUGEN ATR,HWLWR,Permanent Shutdown,1980,630.7,4523.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=345
3,JAPAN,FUGEN ATR,HWLWR,Permanent Shutdown,1981,242.8,1840.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=345
4,JAPAN,FUGEN ATR,HWLWR,Permanent Shutdown,1982,819.22,5706.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=345
5,JAPAN,FUGEN ATR,HWLWR,Permanent Shutdown,1983,1106.0,7724.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=345
6,JAPAN,FUGEN ATR,HWLWR,Permanent Shutdown,1984,767.05,5502.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=345
7,JAPAN,FUGEN ATR,HWLWR,Permanent Shutdown,1985,670.69,4661.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=345
8,JAPAN,FUGEN ATR,HWLWR,Permanent Shutdown,1986,1034.42,7221.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=345
9,JAPAN,FUGEN ATR,HWLWR,Permanent Shutdown,1987,725.68,5055.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=345
10,JAPAN,FUGEN ATR,HWLWR,Permanent Shutdown,1988,1015.42,6976.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=345
11,JAPAN,FUGEN ATR,HWLWR,Permanent Shutdown,1989,809.09,5656.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=345
12,JAPAN,FUGEN ATR,HWLWR,Permanent Shutdown,1990,1081.1,7526.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=345
13,JAPAN,FUGEN ATR,HWLWR,Permanent Shutdown,1991,671.28,4728.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=345
14,JAPAN,FUGEN ATR,HWLWR,Permanent Shutdown,1992,933.87,6397.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=345
15,JAPAN,FUGEN ATR,HWLWR,Permanent Shutdown,1993,857.25,5915.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=345
16,JAPAN,FUGEN ATR,HWLWR,Permanent Shutdown,1994,1182.83,8040.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=345
17,JAPAN,FUGEN ATR,HWLWR,Permanent Shutdown,1995,797.03,5491.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=345
18,JAPAN,FUGEN ATR,HWLWR,Permanent Shutdown,1996,991.23,6751.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=345
19,JAPAN,FUGEN ATR,HWLWR,Permanent Shutdown,1997,520.81,3656.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=345
20,JAPAN,FUGEN ATR,HWLWR,Permanent Shutdown,1998,1186.37,8085.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=345
21,JAPAN,FUGEN ATR,HWLWR,Permanent Shutdown,1999,445.44,2806.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=345
22,JAPAN,FUGEN ATR,HWLWR,Permanent Shutdown,2000,569.3,3964.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=345
23,JAPAN,FUGEN ATR,HWLWR,Permanent Shutdown,2001,507.46,3430.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=345
24,JAPAN,FUGEN ATR,HWLWR,Permanent Shutdown,2002,606.28,4528.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=345
25,JAPAN,FUGEN ATR,HWLWR,Permanent Shutdown,2003,345.52,2095.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=345
