,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,JAPAN,FUKUSHIMA-DAIICHI-3,BWR,Permanent Shutdown,1974,284.7,1140.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=334
1,JAPAN,FUKUSHIMA-DAIICHI-3,BWR,Permanent Shutdown,1975,2961.8,6069.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=334
2,JAPAN,FUKUSHIMA-DAIICHI-3,BWR,Permanent Shutdown,1976,4807.1,7641.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=334
3,JAPAN,FUKUSHIMA-DAIICHI-3,BWR,Permanent Shutdown,1977,2171.1,3575.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=334
4,JAPAN,FUKUSHIMA-DAIICHI-3,BWR,Permanent Shutdown,1978,2753.7,4368.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=334
5,JAPAN,FUKUSHIMA-DAIICHI-3,BWR,Permanent Shutdown,1979,4916.3,7190.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=334
6,JAPAN,FUKUSHIMA-DAIICHI-3,BWR,Permanent Shutdown,1980,4287.0,6110.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=334
7,JAPAN,FUKUSHIMA-DAIICHI-3,BWR,Permanent Shutdown,1981,3722.8,5173.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=334
8,JAPAN,FUKUSHIMA-DAIICHI-3,BWR,Permanent Shutdown,1982,2886.8,4037.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=334
9,JAPAN,FUKUSHIMA-DAIICHI-3,BWR,Permanent Shutdown,1983,4034.0,5643.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=334
10,JAPAN,FUKUSHIMA-DAIICHI-3,BWR,Permanent Shutdown,1984,4497.33,6041.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=334
11,JAPAN,FUKUSHIMA-DAIICHI-3,BWR,Permanent Shutdown,1985,5798.64,7738.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=334
12,JAPAN,FUKUSHIMA-DAIICHI-3,BWR,Permanent Shutdown,1986,4234.2,5621.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=334
13,JAPAN,FUKUSHIMA-DAIICHI-3,BWR,Permanent Shutdown,1987,3748.84,5086.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=334
14,JAPAN,FUKUSHIMA-DAIICHI-3,BWR,Permanent Shutdown,1988,5122.99,6822.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=334
15,JAPAN,FUKUSHIMA-DAIICHI-3,BWR,Permanent Shutdown,1989,5706.69,7616.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=334
16,JAPAN,FUKUSHIMA-DAIICHI-3,BWR,Permanent Shutdown,1990,2919.55,3985.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=334
17,JAPAN,FUKUSHIMA-DAIICHI-3,BWR,Permanent Shutdown,1991,4491.02,6003.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=334
18,JAPAN,FUKUSHIMA-DAIICHI-3,BWR,Permanent Shutdown,1992,6098.74,8120.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=334
19,JAPAN,FUKUSHIMA-DAIICHI-3,BWR,Permanent Shutdown,1993,4204.3,5655.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=334
20,JAPAN,FUKUSHIMA-DAIICHI-3,BWR,Permanent Shutdown,1994,4202.3,5647.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=334
21,JAPAN,FUKUSHIMA-DAIICHI-3,BWR,Permanent Shutdown,1995,5966.53,8036.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=334
22,JAPAN,FUKUSHIMA-DAIICHI-3,BWR,Permanent Shutdown,1996,4909.65,6525.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=334
