,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,JAPAN,FUKUSHIMA-DAINI-3,BWR,Permanent Shutdown,1984,38.33,240.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=361
1,JAPAN,FUKUSHIMA-DAINI-3,BWR,Permanent Shutdown,1985,6334.36,6758.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=361
2,JAPAN,FUKUSHIMA-DAINI-3,BWR,Permanent Shutdown,1986,6837.44,6559.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=361
3,JAPAN,FUKUSHIMA-DAINI-3,BWR,Permanent Shutdown,1987,7459.86,7104.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=361
4,JAPAN,FUKUSHIMA-DAINI-3,BWR,Permanent Shutdown,1988,8389.13,8126.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=361
5,JAPAN,FUKUSHIMA-DAINI-3,BWR,Permanent Shutdown,1989,120.16,144.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=361
6,JAPAN,FUKUSHIMA-DAINI-3,BWR,Permanent Shutdown,1990,912.94,1037.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=361
7,JAPAN,FUKUSHIMA-DAINI-3,BWR,Permanent Shutdown,1991,7695.09,7344.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=361
8,JAPAN,FUKUSHIMA-DAINI-3,BWR,Permanent Shutdown,1992,7533.18,7195.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=361
9,JAPAN,FUKUSHIMA-DAINI-3,BWR,Permanent Shutdown,1993,6810.47,6494.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=361
10,JAPAN,FUKUSHIMA-DAINI-3,BWR,Permanent Shutdown,1994,4841.56,4669.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=361
11,JAPAN,FUKUSHIMA-DAINI-3,BWR,Permanent Shutdown,1995,8992.53,8557.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=361
12,JAPAN,FUKUSHIMA-DAINI-3,BWR,Permanent Shutdown,1996,8060.56,7642.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=361
13,JAPAN,FUKUSHIMA-DAINI-3,BWR,Permanent Shutdown,1997,7487.36,7120.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=361
14,JAPAN,FUKUSHIMA-DAINI-3,BWR,Permanent Shutdown,1998,8284.69,7905.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=361
15,JAPAN,FUKUSHIMA-DAINI-3,BWR,Permanent Shutdown,1999,8566.79,8127.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=361
16,JAPAN,FUKUSHIMA-DAINI-3,BWR,Permanent Shutdown,2000,7643.88,7258.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=361
17,JAPAN,FUKUSHIMA-DAINI-3,BWR,Permanent Shutdown,2001,3287.99,3185.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=361
18,JAPAN,FUKUSHIMA-DAINI-3,BWR,Permanent Shutdown,2002,6123.41,5806.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=361
19,JAPAN,FUKUSHIMA-DAINI-3,BWR,Permanent Shutdown,2003,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=361
20,JAPAN,FUKUSHIMA-DAINI-3,BWR,Permanent Shutdown,2004,6862.34,6508.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=361
21,JAPAN,FUKUSHIMA-DAINI-3,BWR,Permanent Shutdown,2005,359.49,390.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=361
22,JAPAN,FUKUSHIMA-DAINI-3,BWR,Permanent Shutdown,2006,8677.35,8221.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=361
23,JAPAN,FUKUSHIMA-DAINI-3,BWR,Permanent Shutdown,2007,6442.91,6154.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=361
24,JAPAN,FUKUSHIMA-DAINI-3,BWR,Permanent Shutdown,2008,6730.2,6427.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=361
25,JAPAN,FUKUSHIMA-DAINI-3,BWR,Permanent Shutdown,2009,9283.27,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=361
26,JAPAN,FUKUSHIMA-DAINI-3,BWR,Permanent Shutdown,2010,7564.5,7186.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=361
27,JAPAN,FUKUSHIMA-DAINI-3,BWR,Permanent Shutdown,2011,1759.21,1671.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=361
28,JAPAN,FUKUSHIMA-DAINI-3,BWR,Permanent Shutdown,2012,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=361
29,JAPAN,FUKUSHIMA-DAINI-3,BWR,Permanent Shutdown,2013,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=361
30,JAPAN,FUKUSHIMA-DAINI-3,BWR,Permanent Shutdown,2014,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=361
31,JAPAN,FUKUSHIMA-DAINI-3,BWR,Permanent Shutdown,2015,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=361
32,JAPAN,FUKUSHIMA-DAINI-3,BWR,Permanent Shutdown,2016,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=361
33,JAPAN,FUKUSHIMA-DAINI-3,BWR,Permanent Shutdown,2017,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=361
34,JAPAN,FUKUSHIMA-DAINI-3,BWR,Permanent Shutdown,2018,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=361
35,JAPAN,FUKUSHIMA-DAINI-3,BWR,Permanent Shutdown,2019,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=361
