,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,CHINA,FUQING-2,PWR,Operational,2015,2017.22,3487.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=915
1,CHINA,FUQING-2,PWR,Operational,2016,6070.84,6807.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=915
2,CHINA,FUQING-2,PWR,Operational,2017,7416.83,7659.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=915
3,CHINA,FUQING-2,PWR,Operational,2018,7255.87,7587.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=915
4,CHINA,FUQING-2,PWR,Operational,2019,7893.35,8685.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=915
5,CHINA,FUQING-2,PWR,Operational,2020,7726.34,8137.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=915
6,CHINA,FUQING-2,PWR,Operational,2021,7482.49,7781.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=915
7,CHINA,FUQING-2,PWR,Operational,2022,8194.52,8610.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=915
8,CHINA,FUQING-2,PWR,Operational,2023,7775.95,7893.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=915
9,CHINA,FUQING-2,PWR,Operational,2024,7657.12,7772.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=915
