,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
11,FRANCE,G-3 (MARCOULE),GCR,Permanent Shutdown,1971,665.0,8422.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=161
12,FRANCE,G-3 (MARCOULE),GCR,Permanent Shutdown,1972,683.4,8766.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=161
13,FRANCE,G-3 (MARCOULE),GCR,Permanent Shutdown,1973,542.3,6275.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=161
14,FRANCE,G-3 (MARCOULE),GCR,Permanent Shutdown,1974,526.6,7041.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=161
15,FRANCE,G-3 (MARCOULE),GCR,Permanent Shutdown,1975,533.8,7197.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=161
16,FRANCE,G-3 (MARCOULE),GCR,Permanent Shutdown,1976,252.9,7087.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=161
17,FRANCE,G-3 (MARCOULE),GCR,Permanent Shutdown,1977,286.4,7986.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=161
18,FRANCE,G-3 (MARCOULE),GCR,Permanent Shutdown,1978,224.8,6226.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=161
19,FRANCE,G-3 (MARCOULE),GCR,Permanent Shutdown,1979,214.2,6130.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=161
20,FRANCE,G-3 (MARCOULE),GCR,Permanent Shutdown,1980,215.0,6114.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=161
21,FRANCE,G-3 (MARCOULE),GCR,Permanent Shutdown,1981,294.0,8506.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=161
22,FRANCE,G-3 (MARCOULE),GCR,Permanent Shutdown,1982,169.0,5001.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=161
23,FRANCE,G-3 (MARCOULE),GCR,Permanent Shutdown,1983,203.0,6002.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=161
24,FRANCE,G-3 (MARCOULE),GCR,Permanent Shutdown,1984,88.0,2434.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=161
