,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
7,ITALY,GARIGLIANO,BWR,Permanent Shutdown,1971,1163.7,7936.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=325
8,ITALY,GARIGLIANO,BWR,Permanent Shutdown,1972,436.0,3210.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=325
9,ITALY,GARIGLIANO,BWR,Permanent Shutdown,1973,970.0,7197.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=325
10,ITALY,GARIGLIANO,BWR,Permanent Shutdown,1974,719.6,5818.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=325
11,ITALY,GARIGLIANO,BWR,Permanent Shutdown,1975,470.7,4154.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=325
12,ITALY,GARIGLIANO,BWR,Permanent Shutdown,1976,1144.9,8063.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=325
13,ITALY,GARIGLIANO,BWR,Permanent Shutdown,1977,448.3,4003.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=325
14,ITALY,GARIGLIANO,BWR,Permanent Shutdown,1978,456.5,3402.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=325
15,ITALY,GARIGLIANO,BWR,Permanent Shutdown,1979,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=325
16,ITALY,GARIGLIANO,BWR,Permanent Shutdown,1980,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=325
17,ITALY,GARIGLIANO,BWR,Permanent Shutdown,1981,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=325
18,ITALY,GARIGLIANO,BWR,Permanent Shutdown,1982,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=325
