,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,JAPAN,GENKAI-2,PWR,Permanent Shutdown,1980,1628.7,4110.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=352
1,JAPAN,GENKAI-2,PWR,Permanent Shutdown,1981,4140.3,7953.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=352
2,JAPAN,GENKAI-2,PWR,Permanent Shutdown,1982,3598.1,6931.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=352
3,JAPAN,GENKAI-2,PWR,Permanent Shutdown,1983,3671.7,7056.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=352
4,JAPAN,GENKAI-2,PWR,Permanent Shutdown,1984,3803.53,7359.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=352
5,JAPAN,GENKAI-2,PWR,Permanent Shutdown,1985,3857.54,7423.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=352
6,JAPAN,GENKAI-2,PWR,Permanent Shutdown,1986,4631.67,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=352
7,JAPAN,GENKAI-2,PWR,Permanent Shutdown,1987,3874.4,7426.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=352
8,JAPAN,GENKAI-2,PWR,Permanent Shutdown,1988,3458.43,6630.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=352
9,JAPAN,GENKAI-2,PWR,Permanent Shutdown,1989,3241.41,6230.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=352
10,JAPAN,GENKAI-2,PWR,Permanent Shutdown,1990,4654.78,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=352
11,JAPAN,GENKAI-2,PWR,Permanent Shutdown,1991,3732.44,7141.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=352
12,JAPAN,GENKAI-2,PWR,Permanent Shutdown,1992,3480.56,6638.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=352
13,JAPAN,GENKAI-2,PWR,Permanent Shutdown,1993,3722.29,7007.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=352
14,JAPAN,GENKAI-2,PWR,Permanent Shutdown,1994,4013.48,7561.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=352
15,JAPAN,GENKAI-2,PWR,Permanent Shutdown,1995,3784.07,7225.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=352
16,JAPAN,GENKAI-2,PWR,Permanent Shutdown,1996,3644.71,6991.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=352
17,JAPAN,GENKAI-2,PWR,Permanent Shutdown,1997,3448.32,6541.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=352
18,JAPAN,GENKAI-2,PWR,Permanent Shutdown,1998,3701.36,6978.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=352
19,JAPAN,GENKAI-2,PWR,Permanent Shutdown,1999,4347.94,8186.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=352
20,JAPAN,GENKAI-2,PWR,Permanent Shutdown,2000,3473.33,6541.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=352
21,JAPAN,GENKAI-2,PWR,Permanent Shutdown,2001,2216.37,4177.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=352
22,JAPAN,GENKAI-2,PWR,Permanent Shutdown,2002,4107.46,7598.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=352
23,JAPAN,GENKAI-2,PWR,Permanent Shutdown,2003,4490.52,8209.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=352
24,JAPAN,GENKAI-2,PWR,Permanent Shutdown,2004,3848.58,7052.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=352
