,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
1,CANADA,GENTILLY-2,PHWR,Permanent Shutdown,1983,937.7,1580.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=32
2,CANADA,GENTILLY-2,PHWR,Permanent Shutdown,1984,3426.02,6742.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=32
3,CANADA,GENTILLY-2,PHWR,Permanent Shutdown,1985,3189.45,6347.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=32
4,CANADA,GENTILLY-2,PHWR,Permanent Shutdown,1986,3792.14,7488.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=32
5,CANADA,GENTILLY-2,PHWR,Permanent Shutdown,1987,4658.46,7654.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=32
6,CANADA,GENTILLY-2,PHWR,Permanent Shutdown,1988,5283.59,8372.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=32
7,CANADA,GENTILLY-2,PHWR,Permanent Shutdown,1989,4870.25,7722.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=32
8,CANADA,GENTILLY-2,PHWR,Permanent Shutdown,1990,4080.56,7748.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=32
9,CANADA,GENTILLY-2,PHWR,Permanent Shutdown,1991,3925.51,6317.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=32
10,CANADA,GENTILLY-2,PHWR,Permanent Shutdown,1992,4701.5,7431.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=32
11,CANADA,GENTILLY-2,PHWR,Permanent Shutdown,1993,4827.1,7731.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=32
12,CANADA,GENTILLY-2,PHWR,Permanent Shutdown,1994,5405.46,8634.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=32
13,CANADA,GENTILLY-2,PHWR,Permanent Shutdown,1995,4518.97,7229.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=32
14,CANADA,GENTILLY-2,PHWR,Permanent Shutdown,1996,5241.98,8289.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=32
15,CANADA,GENTILLY-2,PHWR,Permanent Shutdown,1997,4217.52,6901.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=32
16,CANADA,GENTILLY-2,PHWR,Permanent Shutdown,1998,3825.06,6258.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=32
17,CANADA,GENTILLY-2,PHWR,Permanent Shutdown,1999,3793.28,6132.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=32
18,CANADA,GENTILLY-2,PHWR,Permanent Shutdown,2000,4886.2,7879.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=32
19,CANADA,GENTILLY-2,PHWR,Permanent Shutdown,2001,4711.19,7766.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=32
20,CANADA,GENTILLY-2,PHWR,Permanent Shutdown,2002,4532.29,7366.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=32
21,CANADA,GENTILLY-2,PHWR,Permanent Shutdown,2003,3567.07,5833.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=32
22,CANADA,GENTILLY-2,PHWR,Permanent Shutdown,2004,4875.39,7905.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=32
23,CANADA,GENTILLY-2,PHWR,Permanent Shutdown,2005,4486.19,7329.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=32
24,CANADA,GENTILLY-2,PHWR,Permanent Shutdown,2006,4595.25,7541.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=32
25,CANADA,GENTILLY-2,PHWR,Permanent Shutdown,2007,4328.59,7126.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=32
26,CANADA,GENTILLY-2,PHWR,Permanent Shutdown,2008,3648.41,6207.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=32
27,CANADA,GENTILLY-2,PHWR,Permanent Shutdown,2009,3611.44,6039.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=32
28,CANADA,GENTILLY-2,PHWR,Permanent Shutdown,2010,3490.45,5641.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=32
29,CANADA,GENTILLY-2,PHWR,Permanent Shutdown,2011,3490.6,5861.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=32
30,CANADA,GENTILLY-2,PHWR,Permanent Shutdown,2012,3911.56,7114.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=32
