,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
1,UNITED STATES OF AMERICA,GINNA,PWR,Operational,1970,2313.0,6079.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=609
2,UNITED STATES OF AMERICA,GINNA,PWR,Operational,1971,2871.8,6592.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=609
3,UNITED STATES OF AMERICA,GINNA,PWR,Operational,1972,2572.1,6029.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=609
4,UNITED STATES OF AMERICA,GINNA,PWR,Operational,1973,3398.8,8325.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=609
5,UNITED STATES OF AMERICA,GINNA,PWR,Operational,1974,2097.2,5465.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=609
6,UNITED STATES OF AMERICA,GINNA,PWR,Operational,1975,3041.1,6709.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=609
7,UNITED STATES OF AMERICA,GINNA,PWR,Operational,1976,2060.8,5113.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=609
8,UNITED STATES OF AMERICA,GINNA,PWR,Operational,1977,3028.5,7489.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=609
9,UNITED STATES OF AMERICA,GINNA,PWR,Operational,1978,3218.7,7058.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=609
10,UNITED STATES OF AMERICA,GINNA,PWR,Operational,1979,2960.5,6375.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=609
11,UNITED STATES OF AMERICA,GINNA,PWR,Operational,1980,3093.5,6673.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=609
12,UNITED STATES OF AMERICA,GINNA,PWR,Operational,1981,3322.5,7194.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=609
