,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,SWITZERLAND,GOESGEN,PWR,Operational,1979,3398.7,4724.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=58
1,SWITZERLAND,GOESGEN,PWR,Operational,1980,5935.7,6819.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=58
2,SWITZERLAND,GOESGEN,PWR,Operational,1981,6527.6,7523.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=58
3,SWITZERLAND,GOESGEN,PWR,Operational,1982,6436.1,7665.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=58
4,SWITZERLAND,GOESGEN,PWR,Operational,1983,6891.6,7790.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=58
5,SWITZERLAND,GOESGEN,PWR,Operational,1984,7134.78,8015.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=58
6,SWITZERLAND,GOESGEN,PWR,Operational,1985,6747.72,7789.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=58
7,SWITZERLAND,GOESGEN,PWR,Operational,1986,6754.54,7386.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=58
8,SWITZERLAND,GOESGEN,PWR,Operational,1987,6910.34,7521.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=58
9,SWITZERLAND,GOESGEN,PWR,Operational,1988,6858.97,7476.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=58
10,SWITZERLAND,GOESGEN,PWR,Operational,1989,6878.68,7514.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=58
11,SWITZERLAND,GOESGEN,PWR,Operational,1990,7131.49,7983.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=58
12,SWITZERLAND,GOESGEN,PWR,Operational,1991,7141.94,7918.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=58
13,SWITZERLAND,GOESGEN,PWR,Operational,1992,7406.91,8107.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=58
14,SWITZERLAND,GOESGEN,PWR,Operational,1993,7408.12,8075.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=58
15,SWITZERLAND,GOESGEN,PWR,Operational,1994,7661.09,8102.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=58
16,SWITZERLAND,GOESGEN,PWR,Operational,1995,7820.85,8109.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=58
17,SWITZERLAND,GOESGEN,PWR,Operational,1996,7928.35,8204.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=58
18,SWITZERLAND,GOESGEN,PWR,Operational,1997,7967.77,8189.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=58
