,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,FRANCE,GOLFECH-1,PWR,Operational,1990,1820.59,2092.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=219
1,FRANCE,GOLFECH-1,PWR,Operational,1991,9536.95,8167.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=219
2,FRANCE,GOLFECH-1,PWR,Operational,1992,7065.89,6128.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=219
3,FRANCE,GOLFECH-1,PWR,Operational,1993,7925.62,7143.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=219
4,FRANCE,GOLFECH-1,PWR,Operational,1994,7756.13,7215.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=219
5,FRANCE,GOLFECH-1,PWR,Operational,1995,7897.84,7005.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=219
6,FRANCE,GOLFECH-1,PWR,Operational,1996,8862.41,7598.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=219
7,FRANCE,GOLFECH-1,PWR,Operational,1997,9151.57,8000.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=219
8,FRANCE,GOLFECH-1,PWR,Operational,1998,8576.56,7472.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=219
9,FRANCE,GOLFECH-1,PWR,Operational,1999,7926.35,6837.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=219
10,FRANCE,GOLFECH-1,PWR,Operational,2000,8766.29,7901.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=219
11,FRANCE,GOLFECH-1,PWR,Operational,2001,7511.92,6147.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=219
12,FRANCE,GOLFECH-1,PWR,Operational,2002,9242.42,7301.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=219
13,FRANCE,GOLFECH-1,PWR,Operational,2003,10342.73,8252.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=219
14,FRANCE,GOLFECH-1,PWR,Operational,2004,9051.07,7721.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=219
15,FRANCE,GOLFECH-1,PWR,Operational,2005,8653.53,7014.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=219
16,FRANCE,GOLFECH-1,PWR,Operational,2006,9475.13,7848.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=219
17,FRANCE,GOLFECH-1,PWR,Operational,2007,9517.6,8554.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=219
18,FRANCE,GOLFECH-1,PWR,Operational,2008,8556.94,7104.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=219
19,FRANCE,GOLFECH-1,PWR,Operational,2009,9662.38,7932.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=219
20,FRANCE,GOLFECH-1,PWR,Operational,2010,8888.69,7290.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=219
21,FRANCE,GOLFECH-1,PWR,Operational,2011,9830.09,8546.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=219
22,FRANCE,GOLFECH-1,PWR,Operational,2012,7272.39,5889.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=219
23,FRANCE,GOLFECH-1,PWR,Operational,2013,9694.33,7793.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=219
24,FRANCE,GOLFECH-1,PWR,Operational,2014,8149.57,6728.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=219
25,FRANCE,GOLFECH-1,PWR,Operational,2015,10067.4,8721.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=219
26,FRANCE,GOLFECH-1,PWR,Operational,2016,9913.55,7917.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=219
27,FRANCE,GOLFECH-1,PWR,Operational,2017,8310.56,6654.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=219
28,FRANCE,GOLFECH-1,PWR,Operational,2018,9174.78,8075.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=219
29,FRANCE,GOLFECH-1,PWR,Operational,2019,8314.41,7199.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=219
30,FRANCE,GOLFECH-1,PWR,Operational,2020,7133.37,5836.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=219
31,FRANCE,GOLFECH-1,PWR,Operational,2021,10847.21,8542.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=219
32,FRANCE,GOLFECH-1,PWR,Operational,2022,1546.16,1346.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=219
33,FRANCE,GOLFECH-1,PWR,Operational,2023,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=219
34,FRANCE,GOLFECH-1,PWR,Operational,2024,9783.41,8031.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=219
