,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
1,GERMANY,GRAFENRHEINFELD,PWR,Permanent Shutdown,1982,8139.1,7350.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=97
2,GERMANY,GRAFENRHEINFELD,PWR,Permanent Shutdown,1983,9412.0,7898.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=97
3,GERMANY,GRAFENRHEINFELD,PWR,Permanent Shutdown,1984,9590.0,7890.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=97
4,GERMANY,GRAFENRHEINFELD,PWR,Permanent Shutdown,1985,9741.63,8155.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=97
5,GERMANY,GRAFENRHEINFELD,PWR,Permanent Shutdown,1986,8718.17,7179.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=97
6,GERMANY,GRAFENRHEINFELD,PWR,Permanent Shutdown,1987,8360.6,7509.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=97
7,GERMANY,GRAFENRHEINFELD,PWR,Permanent Shutdown,1988,8799.91,7604.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=97
8,GERMANY,GRAFENRHEINFELD,PWR,Permanent Shutdown,1989,9401.73,7840.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=97
9,GERMANY,GRAFENRHEINFELD,PWR,Permanent Shutdown,1990,7910.25,6743.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=97
10,GERMANY,GRAFENRHEINFELD,PWR,Permanent Shutdown,1991,9753.48,8114.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=97
11,GERMANY,GRAFENRHEINFELD,PWR,Permanent Shutdown,1992,9657.15,8074.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=97
12,GERMANY,GRAFENRHEINFELD,PWR,Permanent Shutdown,1993,8845.9,7524.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=97
13,GERMANY,GRAFENRHEINFELD,PWR,Permanent Shutdown,1994,9674.49,8116.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=97
14,GERMANY,GRAFENRHEINFELD,PWR,Permanent Shutdown,1995,9946.03,8193.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=97
