,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,UNITED STATES OF AMERICA,GRAND GULF-1,BWR,Operational,1984,164.98,702.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=715
1,UNITED STATES OF AMERICA,GRAND GULF-1,BWR,Operational,1985,4316.4,5042.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=715
2,UNITED STATES OF AMERICA,GRAND GULF-1,BWR,Operational,1986,4098.05,5326.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=715
3,UNITED STATES OF AMERICA,GRAND GULF-1,BWR,Operational,1987,7726.99,7098.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=715
4,UNITED STATES OF AMERICA,GRAND GULF-1,BWR,Operational,1988,9590.95,8250.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=715
5,UNITED STATES OF AMERICA,GRAND GULF-1,BWR,Operational,1989,7846.28,6815.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=715
6,UNITED STATES OF AMERICA,GRAND GULF-1,BWR,Operational,1990,7404.01,6765.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=715
7,UNITED STATES OF AMERICA,GRAND GULF-1,BWR,Operational,1991,9118.72,8035.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=715
8,UNITED STATES OF AMERICA,GRAND GULF-1,BWR,Operational,1992,8171.15,7163.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=715
9,UNITED STATES OF AMERICA,GRAND GULF-1,BWR,Operational,1993,7898.46,6845.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=715
10,UNITED STATES OF AMERICA,GRAND GULF-1,BWR,Operational,1994,9614.75,8284.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=715
11,UNITED STATES OF AMERICA,GRAND GULF-1,BWR,Operational,1995,7809.73,6829.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=715
12,UNITED STATES OF AMERICA,GRAND GULF-1,BWR,Operational,1996,9224.7,7696.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=715
13,UNITED STATES OF AMERICA,GRAND GULF-1,BWR,Operational,1997,10817.56,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=715
14,UNITED STATES OF AMERICA,GRAND GULF-1,BWR,Operational,1998,9190.81,7641.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=715
15,UNITED STATES OF AMERICA,GRAND GULF-1,BWR,Operational,1999,8428.4,6944.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=715
16,UNITED STATES OF AMERICA,GRAND GULF-1,BWR,Operational,2000,10694.61,8634.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=715
17,UNITED STATES OF AMERICA,GRAND GULF-1,BWR,Operational,2001,9923.98,8040.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=715
18,UNITED STATES OF AMERICA,GRAND GULF-1,BWR,Operational,2002,10059.47,8139.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=715
19,UNITED STATES OF AMERICA,GRAND GULF-1,BWR,Operational,2003,10902.49,8574.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=715
20,UNITED STATES OF AMERICA,GRAND GULF-1,BWR,Operational,2004,10235.07,8047.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=715
21,UNITED STATES OF AMERICA,GRAND GULF-1,BWR,Operational,2005,10077.85,7974.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=715
22,UNITED STATES OF AMERICA,GRAND GULF-1,BWR,Operational,2006,10807.33,8570.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=715
23,UNITED STATES OF AMERICA,GRAND GULF-1,BWR,Operational,2007,9358.78,7643.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=715
24,UNITED STATES OF AMERICA,GRAND GULF-1,BWR,Operational,2008,9417.15,7637.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=715
25,UNITED STATES OF AMERICA,GRAND GULF-1,BWR,Operational,2009,10998.51,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=715
26,UNITED STATES OF AMERICA,GRAND GULF-1,BWR,Operational,2010,9643.24,7912.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=715
