,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,FRANCE,GRAVELINES-2,PWR,Operational,1980,1282.0,1916.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=175
1,FRANCE,GRAVELINES-2,PWR,Operational,1981,5949.2,7276.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=175
2,FRANCE,GRAVELINES-2,PWR,Operational,1982,2118.5,2732.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=175
3,FRANCE,GRAVELINES-2,PWR,Operational,1983,6130.0,6917.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=175
4,FRANCE,GRAVELINES-2,PWR,Operational,1984,5749.0,6751.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=175
5,FRANCE,GRAVELINES-2,PWR,Operational,1985,6829.7,7950.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=175
6,FRANCE,GRAVELINES-2,PWR,Operational,1986,6422.0,7956.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=175
7,FRANCE,GRAVELINES-2,PWR,Operational,1987,5357.9,6807.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=175
8,FRANCE,GRAVELINES-2,PWR,Operational,1988,5577.0,7227.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=175
9,FRANCE,GRAVELINES-2,PWR,Operational,1989,6412.93,7460.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=175
10,FRANCE,GRAVELINES-2,PWR,Operational,1990,6143.08,7164.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=175
11,FRANCE,GRAVELINES-2,PWR,Operational,1991,4915.91,5648.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=175
12,FRANCE,GRAVELINES-2,PWR,Operational,1992,6124.15,7149.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=175
13,FRANCE,GRAVELINES-2,PWR,Operational,1993,6219.87,7297.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=175
14,FRANCE,GRAVELINES-2,PWR,Operational,1994,6293.68,7638.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=175
15,FRANCE,GRAVELINES-2,PWR,Operational,1995,5599.66,6735.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=175
16,FRANCE,GRAVELINES-2,PWR,Operational,1996,5235.92,6361.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=175
17,FRANCE,GRAVELINES-2,PWR,Operational,1997,6641.23,8006.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=175
18,FRANCE,GRAVELINES-2,PWR,Operational,1998,5531.44,6896.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=175
19,FRANCE,GRAVELINES-2,PWR,Operational,1999,6394.43,7705.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=175
20,FRANCE,GRAVELINES-2,PWR,Operational,2000,5582.71,6952.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=175
21,FRANCE,GRAVELINES-2,PWR,Operational,2001,5984.52,7601.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=175
22,FRANCE,GRAVELINES-2,PWR,Operational,2002,5254.3,6658.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=175
23,FRANCE,GRAVELINES-2,PWR,Operational,2003,6553.92,7986.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=175
24,FRANCE,GRAVELINES-2,PWR,Operational,2004,6009.04,7262.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=175
25,FRANCE,GRAVELINES-2,PWR,Operational,2005,6622.59,7880.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=175
26,FRANCE,GRAVELINES-2,PWR,Operational,2006,6222.36,7369.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=175
