,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,GERMANY,GROHNDE,PWR,Permanent Shutdown,1984,1214.0,1424.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=101
1,GERMANY,GROHNDE,PWR,Permanent Shutdown,1985,10871.05,8406.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=101
2,GERMANY,GROHNDE,PWR,Permanent Shutdown,1986,10205.37,8120.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=101
3,GERMANY,GROHNDE,PWR,Permanent Shutdown,1987,9648.48,7979.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=101
4,GERMANY,GROHNDE,PWR,Permanent Shutdown,1988,10208.28,8104.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=101
5,GERMANY,GROHNDE,PWR,Permanent Shutdown,1989,10279.44,8058.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=101
6,GERMANY,GROHNDE,PWR,Permanent Shutdown,1990,10123.56,7872.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=101
7,GERMANY,GROHNDE,PWR,Permanent Shutdown,1991,9957.76,7603.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=101
8,GERMANY,GROHNDE,PWR,Permanent Shutdown,1992,10424.29,7981.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=101
9,GERMANY,GROHNDE,PWR,Permanent Shutdown,1993,10680.11,8147.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=101
10,GERMANY,GROHNDE,PWR,Permanent Shutdown,1994,10266.46,8063.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=101
11,GERMANY,GROHNDE,PWR,Permanent Shutdown,1995,10771.16,7986.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=101
12,GERMANY,GROHNDE,PWR,Permanent Shutdown,1996,10589.85,7861.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=101
13,GERMANY,GROHNDE,PWR,Permanent Shutdown,1997,11864.65,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=101
14,GERMANY,GROHNDE,PWR,Permanent Shutdown,1998,11146.31,8301.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=101
15,GERMANY,GROHNDE,PWR,Permanent Shutdown,1999,11212.15,8351.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=101
16,GERMANY,GROHNDE,PWR,Permanent Shutdown,2000,11055.88,8250.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=101
17,GERMANY,GROHNDE,PWR,Permanent Shutdown,2001,10926.65,8310.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=101
18,GERMANY,GROHNDE,PWR,Permanent Shutdown,2002,10791.89,8233.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=101
19,GERMANY,GROHNDE,PWR,Permanent Shutdown,2003,10933.04,8343.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=101
20,GERMANY,GROHNDE,PWR,Permanent Shutdown,2004,10695.42,8245.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=101
21,GERMANY,GROHNDE,PWR,Permanent Shutdown,2005,10840.95,8364.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=101
22,GERMANY,GROHNDE,PWR,Permanent Shutdown,2006,10995.69,8296.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=101
23,GERMANY,GROHNDE,PWR,Permanent Shutdown,2007,10818.4,8270.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=101
24,GERMANY,GROHNDE,PWR,Permanent Shutdown,2008,10545.95,8048.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=101
25,GERMANY,GROHNDE,PWR,Permanent Shutdown,2009,10867.47,8288.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=101
26,GERMANY,GROHNDE,PWR,Permanent Shutdown,2010,10782.44,8267.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=101
27,GERMANY,GROHNDE,PWR,Permanent Shutdown,2011,9603.19,7341.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=101
28,GERMANY,GROHNDE,PWR,Permanent Shutdown,2012,11008.61,8374.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=101
29,GERMANY,GROHNDE,PWR,Permanent Shutdown,2013,10420.06,7847.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=101
