,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,GERMANY,GUNDREMMINGEN-B,BWR,Permanent Shutdown,1984,6132.0,5744.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=100
1,GERMANY,GUNDREMMINGEN-B,BWR,Permanent Shutdown,1985,9147.46,7852.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=100
2,GERMANY,GUNDREMMINGEN-B,BWR,Permanent Shutdown,1986,8298.28,7434.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=100
3,GERMANY,GUNDREMMINGEN-B,BWR,Permanent Shutdown,1987,8413.2,7876.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=100
4,GERMANY,GUNDREMMINGEN-B,BWR,Permanent Shutdown,1988,7079.26,7706.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=100
5,GERMANY,GUNDREMMINGEN-B,BWR,Permanent Shutdown,1989,9653.7,8743.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=100
6,GERMANY,GUNDREMMINGEN-B,BWR,Permanent Shutdown,1990,8442.28,7717.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=100
7,GERMANY,GUNDREMMINGEN-B,BWR,Permanent Shutdown,1991,8002.67,7520.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=100
8,GERMANY,GUNDREMMINGEN-B,BWR,Permanent Shutdown,1992,7366.84,7073.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=100
9,GERMANY,GUNDREMMINGEN-B,BWR,Permanent Shutdown,1993,8015.81,7632.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=100
10,GERMANY,GUNDREMMINGEN-B,BWR,Permanent Shutdown,1994,8825.63,8213.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=100
11,GERMANY,GUNDREMMINGEN-B,BWR,Permanent Shutdown,1995,8681.71,7535.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=100
12,GERMANY,GUNDREMMINGEN-B,BWR,Permanent Shutdown,1996,9370.89,7903.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=100
13,GERMANY,GUNDREMMINGEN-B,BWR,Permanent Shutdown,1997,9206.14,8264.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=100
