,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,GERMANY,GUNDREMMINGEN-C,BWR,Permanent Shutdown,1984,1310.0,1258.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=102
1,GERMANY,GUNDREMMINGEN-C,BWR,Permanent Shutdown,1985,9149.56,7663.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=102
2,GERMANY,GUNDREMMINGEN-C,BWR,Permanent Shutdown,1986,8018.53,7945.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=102
3,GERMANY,GUNDREMMINGEN-C,BWR,Permanent Shutdown,1987,7333.18,7345.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=102
4,GERMANY,GUNDREMMINGEN-C,BWR,Permanent Shutdown,1988,7456.14,7887.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=102
5,GERMANY,GUNDREMMINGEN-C,BWR,Permanent Shutdown,1989,7884.5,7722.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=102
6,GERMANY,GUNDREMMINGEN-C,BWR,Permanent Shutdown,1990,8264.75,7519.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=102
7,GERMANY,GUNDREMMINGEN-C,BWR,Permanent Shutdown,1991,8341.34,7709.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=102
8,GERMANY,GUNDREMMINGEN-C,BWR,Permanent Shutdown,1992,9381.03,8784.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=102
9,GERMANY,GUNDREMMINGEN-C,BWR,Permanent Shutdown,1993,6689.16,7051.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=102
10,GERMANY,GUNDREMMINGEN-C,BWR,Permanent Shutdown,1994,7501.99,7147.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=102
11,GERMANY,GUNDREMMINGEN-C,BWR,Permanent Shutdown,1995,9376.72,7929.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=102
12,GERMANY,GUNDREMMINGEN-C,BWR,Permanent Shutdown,1996,9508.99,8176.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=102
13,GERMANY,GUNDREMMINGEN-C,BWR,Permanent Shutdown,1997,9013.63,7861.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=102
14,GERMANY,GUNDREMMINGEN-C,BWR,Permanent Shutdown,1998,9629.47,8153.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=102
15,GERMANY,GUNDREMMINGEN-C,BWR,Permanent Shutdown,1999,8187.6,6942.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=102
