,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
3,UNITED STATES OF AMERICA,HADDAM NECK,PWR,Permanent Shutdown,1970,3721.0,6873.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=605
4,UNITED STATES OF AMERICA,HADDAM NECK,PWR,Permanent Shutdown,1971,4399.5,7603.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=605
5,UNITED STATES OF AMERICA,HADDAM NECK,PWR,Permanent Shutdown,1972,4516.7,7702.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=605
6,UNITED STATES OF AMERICA,HADDAM NECK,PWR,Permanent Shutdown,1973,2425.0,4421.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=605
7,UNITED STATES OF AMERICA,HADDAM NECK,PWR,Permanent Shutdown,1974,4341.8,7993.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=605
8,UNITED STATES OF AMERICA,HADDAM NECK,PWR,Permanent Shutdown,1975,4125.7,7542.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=605
9,UNITED STATES OF AMERICA,HADDAM NECK,PWR,Permanent Shutdown,1976,4029.7,7246.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=605
10,UNITED STATES OF AMERICA,HADDAM NECK,PWR,Permanent Shutdown,1977,4013.2,7349.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=605
11,UNITED STATES OF AMERICA,HADDAM NECK,PWR,Permanent Shutdown,1978,4708.0,8462.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=605
12,UNITED STATES OF AMERICA,HADDAM NECK,PWR,Permanent Shutdown,1979,4118.5,7427.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=605
13,UNITED STATES OF AMERICA,HADDAM NECK,PWR,Permanent Shutdown,1980,3564.3,6578.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=605
14,UNITED STATES OF AMERICA,HADDAM NECK,PWR,Permanent Shutdown,1981,4064.9,7379.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=605
15,UNITED STATES OF AMERICA,HADDAM NECK,PWR,Permanent Shutdown,1982,4538.3,8184.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=605
16,UNITED STATES OF AMERICA,HADDAM NECK,PWR,Permanent Shutdown,1983,3785.8,6817.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=605
17,UNITED STATES OF AMERICA,HADDAM NECK,PWR,Permanent Shutdown,1984,3369.67,6295.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=605
18,UNITED STATES OF AMERICA,HADDAM NECK,PWR,Permanent Shutdown,1985,4638.1,8595.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=605
19,UNITED STATES OF AMERICA,HADDAM NECK,PWR,Permanent Shutdown,1986,2140.86,4696.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=605
20,UNITED STATES OF AMERICA,HADDAM NECK,PWR,Permanent Shutdown,1987,2538.16,4699.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=605
21,UNITED STATES OF AMERICA,HADDAM NECK,PWR,Permanent Shutdown,1988,3313.0,6040.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=605
22,UNITED STATES OF AMERICA,HADDAM NECK,PWR,Permanent Shutdown,1989,2963.24,5859.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=605
23,UNITED STATES OF AMERICA,HADDAM NECK,PWR,Permanent Shutdown,1990,1190.96,2588.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=605
24,UNITED STATES OF AMERICA,HADDAM NECK,PWR,Permanent Shutdown,1991,3708.78,6654.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=605
25,UNITED STATES OF AMERICA,HADDAM NECK,PWR,Permanent Shutdown,1992,3891.02,6955.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=605
26,UNITED STATES OF AMERICA,HADDAM NECK,PWR,Permanent Shutdown,1993,3742.61,6913.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=605
27,UNITED STATES OF AMERICA,HADDAM NECK,PWR,Permanent Shutdown,1994,3804.9,6754.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=605
28,UNITED STATES OF AMERICA,HADDAM NECK,PWR,Permanent Shutdown,1995,3659.66,6686.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=605
29,UNITED STATES OF AMERICA,HADDAM NECK,PWR,Permanent Shutdown,1996,2773.64,4893.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=605
