,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,JAPAN,HAMAOKA-2,BWR,Permanent Shutdown,1978,2677.8,4386.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=349
1,JAPAN,HAMAOKA-2,BWR,Permanent Shutdown,1979,4364.5,5905.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=349
2,JAPAN,HAMAOKA-2,BWR,Permanent Shutdown,1980,4709.3,6261.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=349
3,JAPAN,HAMAOKA-2,BWR,Permanent Shutdown,1981,5037.4,6527.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=349
4,JAPAN,HAMAOKA-2,BWR,Permanent Shutdown,1982,6223.6,8074.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=349
5,JAPAN,HAMAOKA-2,BWR,Permanent Shutdown,1983,4888.1,6250.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=349
6,JAPAN,HAMAOKA-2,BWR,Permanent Shutdown,1984,4693.76,5877.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=349
7,JAPAN,HAMAOKA-2,BWR,Permanent Shutdown,1985,4397.18,5553.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=349
8,JAPAN,HAMAOKA-2,BWR,Permanent Shutdown,1986,4845.48,6145.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=349
9,JAPAN,HAMAOKA-2,BWR,Permanent Shutdown,1987,7001.98,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=349
10,JAPAN,HAMAOKA-2,BWR,Permanent Shutdown,1988,4015.94,5108.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=349
11,JAPAN,HAMAOKA-2,BWR,Permanent Shutdown,1989,4613.01,5864.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=349
12,JAPAN,HAMAOKA-2,BWR,Permanent Shutdown,1990,5828.08,7289.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=349
13,JAPAN,HAMAOKA-2,BWR,Permanent Shutdown,1991,5299.46,6625.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=349
14,JAPAN,HAMAOKA-2,BWR,Permanent Shutdown,1992,4319.57,5421.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=349
15,JAPAN,HAMAOKA-2,BWR,Permanent Shutdown,1993,5347.86,6657.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=349
16,JAPAN,HAMAOKA-2,BWR,Permanent Shutdown,1994,4537.77,5643.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=349
17,JAPAN,HAMAOKA-2,BWR,Permanent Shutdown,1995,6922.17,8577.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=349
18,JAPAN,HAMAOKA-2,BWR,Permanent Shutdown,1996,6152.71,7613.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=349
19,JAPAN,HAMAOKA-2,BWR,Permanent Shutdown,1997,5106.46,6350.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=349
20,JAPAN,HAMAOKA-2,BWR,Permanent Shutdown,1998,5191.76,6462.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=349
21,JAPAN,HAMAOKA-2,BWR,Permanent Shutdown,1999,5221.54,6481.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=349
22,JAPAN,HAMAOKA-2,BWR,Permanent Shutdown,2000,4972.88,6146.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=349
23,JAPAN,HAMAOKA-2,BWR,Permanent Shutdown,2001,5134.19,6362.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=349
24,JAPAN,HAMAOKA-2,BWR,Permanent Shutdown,2002,163.98,198.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=349
25,JAPAN,HAMAOKA-2,BWR,Permanent Shutdown,2003,6950.1,8617.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=349
26,JAPAN,HAMAOKA-2,BWR,Permanent Shutdown,2004,951.33,1225.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=349
27,JAPAN,HAMAOKA-2,BWR,Permanent Shutdown,2005,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=349
28,JAPAN,HAMAOKA-2,BWR,Permanent Shutdown,2006,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=349
29,JAPAN,HAMAOKA-2,BWR,Permanent Shutdown,2007,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=349
30,JAPAN,HAMAOKA-2,BWR,Permanent Shutdown,2008,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=349
31,JAPAN,HAMAOKA-2,BWR,Permanent Shutdown,2009,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=349
