,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
1,"KOREA, REPUBLIC OF",HANBIT-2,PWR,Operational,1987,4297.03,4826.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=412
2,"KOREA, REPUBLIC OF",HANBIT-2,PWR,Operational,1988,6280.88,7085.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=412
3,"KOREA, REPUBLIC OF",HANBIT-2,PWR,Operational,1989,5703.24,6446.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=412
4,"KOREA, REPUBLIC OF",HANBIT-2,PWR,Operational,1990,5964.51,6757.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=412
5,"KOREA, REPUBLIC OF",HANBIT-2,PWR,Operational,1991,6714.99,7433.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=412
6,"KOREA, REPUBLIC OF",HANBIT-2,PWR,Operational,1992,6434.62,7259.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=412
7,"KOREA, REPUBLIC OF",HANBIT-2,PWR,Operational,1993,6930.49,7506.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=412
8,"KOREA, REPUBLIC OF",HANBIT-2,PWR,Operational,1994,7132.86,7687.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=412
9,"KOREA, REPUBLIC OF",HANBIT-2,PWR,Operational,1995,6036.45,6696.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=412
10,"KOREA, REPUBLIC OF",HANBIT-2,PWR,Operational,1996,7656.1,8189.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=412
11,"KOREA, REPUBLIC OF",HANBIT-2,PWR,Operational,1997,6657.34,7453.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=412
12,"KOREA, REPUBLIC OF",HANBIT-2,PWR,Operational,1998,6010.35,6583.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=412
13,"KOREA, REPUBLIC OF",HANBIT-2,PWR,Operational,1999,6718.91,7301.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=412
14,"KOREA, REPUBLIC OF",HANBIT-2,PWR,Operational,2000,7144.06,7753.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=412
15,"KOREA, REPUBLIC OF",HANBIT-2,PWR,Operational,2001,7169.67,7726.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=412
16,"KOREA, REPUBLIC OF",HANBIT-2,PWR,Operational,2002,8194.23,8744.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=412
17,"KOREA, REPUBLIC OF",HANBIT-2,PWR,Operational,2003,7413.3,7931.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=412
18,"KOREA, REPUBLIC OF",HANBIT-2,PWR,Operational,2004,7242.94,7764.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=412
19,"KOREA, REPUBLIC OF",HANBIT-2,PWR,Operational,2005,7302.4,7881.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=412
20,"KOREA, REPUBLIC OF",HANBIT-2,PWR,Operational,2006,8195.68,8719.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=412
21,"KOREA, REPUBLIC OF",HANBIT-2,PWR,Operational,2007,7030.06,7523.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=412
22,"KOREA, REPUBLIC OF",HANBIT-2,PWR,Operational,2008,7472.86,7850.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=412
23,"KOREA, REPUBLIC OF",HANBIT-2,PWR,Operational,2009,8376.93,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=412
24,"KOREA, REPUBLIC OF",HANBIT-2,PWR,Operational,2010,7461.45,7830.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=412
25,"KOREA, REPUBLIC OF",HANBIT-2,PWR,Operational,2011,7600.63,7988.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=412
26,"KOREA, REPUBLIC OF",HANBIT-2,PWR,Operational,2012,8383.44,8784.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=412
27,"KOREA, REPUBLIC OF",HANBIT-2,PWR,Operational,2013,6277.11,6509.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=412
28,"KOREA, REPUBLIC OF",HANBIT-2,PWR,Operational,2014,6661.49,6789.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=412
29,"KOREA, REPUBLIC OF",HANBIT-2,PWR,Operational,2015,7944.95,8060.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=412
30,"KOREA, REPUBLIC OF",HANBIT-2,PWR,Operational,2016,2953.95,2986.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=412
31,"KOREA, REPUBLIC OF",HANBIT-2,PWR,Operational,2017,6669.35,6820.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=412
32,"KOREA, REPUBLIC OF",HANBIT-2,PWR,Operational,2018,4643.92,4714.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=412
33,"KOREA, REPUBLIC OF",HANBIT-2,PWR,Operational,2019,7473.09,7657.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=412
34,"KOREA, REPUBLIC OF",HANBIT-2,PWR,Operational,2020,6603.94,6722.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=412
35,"KOREA, REPUBLIC OF",HANBIT-2,PWR,Operational,2021,8475.06,8700.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=412
36,"KOREA, REPUBLIC OF",HANBIT-2,PWR,Operational,2022,5348.6,5495.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=412
37,"KOREA, REPUBLIC OF",HANBIT-2,PWR,Operational,2023,5835.89,5967.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=412
38,"KOREA, REPUBLIC OF",HANBIT-2,PWR,Operational,2024,8119.06,8331.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=412
