,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
1,"KOREA, REPUBLIC OF",HANUL-1,PWR,Operational,1989,5205.36,5821.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=413
2,"KOREA, REPUBLIC OF",HANUL-1,PWR,Operational,1990,6166.21,7156.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=413
3,"KOREA, REPUBLIC OF",HANUL-1,PWR,Operational,1991,7244.32,7970.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=413
4,"KOREA, REPUBLIC OF",HANUL-1,PWR,Operational,1992,7020.77,7675.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=413
5,"KOREA, REPUBLIC OF",HANUL-1,PWR,Operational,1993,6977.6,7651.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=413
6,"KOREA, REPUBLIC OF",HANUL-1,PWR,Operational,1994,6878.53,7293.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=413
7,"KOREA, REPUBLIC OF",HANUL-1,PWR,Operational,1995,7153.82,7698.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=413
8,"KOREA, REPUBLIC OF",HANUL-1,PWR,Operational,1996,7113.66,7631.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=413
9,"KOREA, REPUBLIC OF",HANUL-1,PWR,Operational,1997,6801.0,7323.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=413
10,"KOREA, REPUBLIC OF",HANUL-1,PWR,Operational,1998,7642.97,8256.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=413
11,"KOREA, REPUBLIC OF",HANUL-1,PWR,Operational,1999,7161.55,7639.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=413
12,"KOREA, REPUBLIC OF",HANUL-1,PWR,Operational,2000,7230.77,7736.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=413
13,"KOREA, REPUBLIC OF",HANUL-1,PWR,Operational,2001,7022.3,7483.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=413
14,"KOREA, REPUBLIC OF",HANUL-1,PWR,Operational,2002,5462.4,6052.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=413
15,"KOREA, REPUBLIC OF",HANUL-1,PWR,Operational,2003,6371.56,7446.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=413
16,"KOREA, REPUBLIC OF",HANUL-1,PWR,Operational,2004,7420.13,7970.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=413
17,"KOREA, REPUBLIC OF",HANUL-1,PWR,Operational,2005,8245.04,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=413
18,"KOREA, REPUBLIC OF",HANUL-1,PWR,Operational,2006,7212.78,7769.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=413
19,"KOREA, REPUBLIC OF",HANUL-1,PWR,Operational,2007,7262.21,7747.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=413
20,"KOREA, REPUBLIC OF",HANUL-1,PWR,Operational,2008,8177.42,8747.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=413
21,"KOREA, REPUBLIC OF",HANUL-1,PWR,Operational,2009,7493.1,8024.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=413
22,"KOREA, REPUBLIC OF",HANUL-1,PWR,Operational,2010,7437.82,7988.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=413
23,"KOREA, REPUBLIC OF",HANUL-1,PWR,Operational,2011,8206.1,8730.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=413
24,"KOREA, REPUBLIC OF",HANUL-1,PWR,Operational,2012,6640.08,6988.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=413
25,"KOREA, REPUBLIC OF",HANUL-1,PWR,Operational,2013,7233.32,7545.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=413
26,"KOREA, REPUBLIC OF",HANUL-1,PWR,Operational,2014,7762.26,8033.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=413
27,"KOREA, REPUBLIC OF",HANUL-1,PWR,Operational,2015,7458.09,7747.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=413
28,"KOREA, REPUBLIC OF",HANUL-1,PWR,Operational,2016,6901.6,7171.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=413
29,"KOREA, REPUBLIC OF",HANUL-1,PWR,Operational,2017,6351.26,6622.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=413
30,"KOREA, REPUBLIC OF",HANUL-1,PWR,Operational,2018,5547.64,5770.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=413
31,"KOREA, REPUBLIC OF",HANUL-1,PWR,Operational,2019,7060.57,7322.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=413
32,"KOREA, REPUBLIC OF",HANUL-1,PWR,Operational,2020,6679.8,6921.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=413
33,"KOREA, REPUBLIC OF",HANUL-1,PWR,Operational,2021,8051.79,8364.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=413
34,"KOREA, REPUBLIC OF",HANUL-1,PWR,Operational,2022,7165.36,7488.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=413
