,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
1,UNITED STATES OF AMERICA,HARRIS-1,PWR,Operational,1988,5345.56,6458.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=704
2,UNITED STATES OF AMERICA,HARRIS-1,PWR,Operational,1989,5638.85,6873.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=704
3,UNITED STATES OF AMERICA,HARRIS-1,PWR,Operational,1990,6339.0,7812.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=704
4,UNITED STATES OF AMERICA,HARRIS-1,PWR,Operational,1991,5927.44,7080.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=704
5,UNITED STATES OF AMERICA,HARRIS-1,PWR,Operational,1992,5427.88,6501.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=704
6,UNITED STATES OF AMERICA,HARRIS-1,PWR,Operational,1993,7527.73,8721.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=704
7,UNITED STATES OF AMERICA,HARRIS-1,PWR,Operational,1994,6065.06,7195.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=704
8,UNITED STATES OF AMERICA,HARRIS-1,PWR,Operational,1995,5966.34,7279.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=704
9,UNITED STATES OF AMERICA,HARRIS-1,PWR,Operational,1996,7067.74,8301.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=704
10,UNITED STATES OF AMERICA,HARRIS-1,PWR,Operational,1997,5909.03,6934.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=704
11,UNITED STATES OF AMERICA,HARRIS-1,PWR,Operational,1998,6711.57,7891.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=704
12,UNITED STATES OF AMERICA,HARRIS-1,PWR,Operational,1999,7244.15,8484.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=704
13,UNITED STATES OF AMERICA,HARRIS-1,PWR,Operational,2000,6877.96,8098.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=704
14,UNITED STATES OF AMERICA,HARRIS-1,PWR,Operational,2001,5401.46,6335.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=704
15,UNITED STATES OF AMERICA,HARRIS-1,PWR,Operational,2002,7835.04,8643.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=704
16,UNITED STATES OF AMERICA,HARRIS-1,PWR,Operational,2003,7236.92,8082.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=704
17,UNITED STATES OF AMERICA,HARRIS-1,PWR,Operational,2004,7008.43,7687.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=704
18,UNITED STATES OF AMERICA,HARRIS-1,PWR,Operational,2005,7930.83,8710.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=704
19,UNITED STATES OF AMERICA,HARRIS-1,PWR,Operational,2006,7029.27,7749.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=704
20,UNITED STATES OF AMERICA,HARRIS-1,PWR,Operational,2007,7403.05,8176.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=704
21,UNITED STATES OF AMERICA,HARRIS-1,PWR,Operational,2008,7821.41,8534.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=704
22,UNITED STATES OF AMERICA,HARRIS-1,PWR,Operational,2009,7403.16,8091.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=704
23,UNITED STATES OF AMERICA,HARRIS-1,PWR,Operational,2010,7080.62,7746.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=704
24,UNITED STATES OF AMERICA,HARRIS-1,PWR,Operational,2011,8111.77,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=704
25,UNITED STATES OF AMERICA,HARRIS-1,PWR,Operational,2012,7121.94,7612.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=704
26,UNITED STATES OF AMERICA,HARRIS-1,PWR,Operational,2013,6888.36,7392.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=704
27,UNITED STATES OF AMERICA,HARRIS-1,PWR,Operational,2014,8048.57,8522.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=704
28,UNITED STATES OF AMERICA,HARRIS-1,PWR,Operational,2015,7272.18,7712.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=704
29,UNITED STATES OF AMERICA,HARRIS-1,PWR,Operational,2016,7513.05,7961.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=704
30,UNITED STATES OF AMERICA,HARRIS-1,PWR,Operational,2017,8208.57,8708.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=704
31,UNITED STATES OF AMERICA,HARRIS-1,PWR,Operational,2018,7587.91,7843.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=704
32,UNITED STATES OF AMERICA,HARRIS-1,PWR,Operational,2019,7610.59,7857.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=704
33,UNITED STATES OF AMERICA,HARRIS-1,PWR,Operational,2020,8275.59,8521.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=704
34,UNITED STATES OF AMERICA,HARRIS-1,PWR,Operational,2021,7967.06,8178.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=704
35,UNITED STATES OF AMERICA,HARRIS-1,PWR,Operational,2022,7806.87,8078.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=704
36,UNITED STATES OF AMERICA,HARRIS-1,PWR,Operational,2023,8609.28,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=704
37,UNITED STATES OF AMERICA,HARRIS-1,PWR,Operational,2024,7690.46,7953.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=704
