,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
1,UNITED KINGDOM,HARTLEPOOL A-1,GCR,Operational,1984,836.0,3130.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=250
2,UNITED KINGDOM,HARTLEPOOL A-1,GCR,Operational,1985,584.38,1772.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=250
3,UNITED KINGDOM,HARTLEPOOL A-1,GCR,Operational,1986,1854.67,4833.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=250
4,UNITED KINGDOM,HARTLEPOOL A-1,GCR,Operational,1987,378.35,1242.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=250
5,UNITED KINGDOM,HARTLEPOOL A-1,GCR,Operational,1988,926.59,3101.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=250
6,UNITED KINGDOM,HARTLEPOOL A-1,GCR,Operational,1989,1829.47,4683.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=250
7,UNITED KINGDOM,HARTLEPOOL A-1,GCR,Operational,1990,1698.68,3486.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=250
8,UNITED KINGDOM,HARTLEPOOL A-1,GCR,Operational,1991,2953.39,6791.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=250
9,UNITED KINGDOM,HARTLEPOOL A-1,GCR,Operational,1992,2910.4,6156.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=250
10,UNITED KINGDOM,HARTLEPOOL A-1,GCR,Operational,1993,4449.59,7802.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=250
11,UNITED KINGDOM,HARTLEPOOL A-1,GCR,Operational,1994,4296.6,7716.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=250
12,UNITED KINGDOM,HARTLEPOOL A-1,GCR,Operational,1995,3584.24,5937.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=250
13,UNITED KINGDOM,HARTLEPOOL A-1,GCR,Operational,1996,4518.01,7691.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=250
14,UNITED KINGDOM,HARTLEPOOL A-1,GCR,Operational,1997,4441.68,7644.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=250
15,UNITED KINGDOM,HARTLEPOOL A-1,GCR,Operational,1998,3892.34,7108.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=250
16,UNITED KINGDOM,HARTLEPOOL A-1,GCR,Operational,1999,5000.14,8369.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=250
17,UNITED KINGDOM,HARTLEPOOL A-1,GCR,Operational,2000,4757.35,8153.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=250
18,UNITED KINGDOM,HARTLEPOOL A-1,GCR,Operational,2001,4291.19,7301.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=250
19,UNITED KINGDOM,HARTLEPOOL A-1,GCR,Operational,2002,4627.85,7965.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=250
20,UNITED KINGDOM,HARTLEPOOL A-1,GCR,Operational,2003,4583.3,7856.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=250
21,UNITED KINGDOM,HARTLEPOOL A-1,GCR,Operational,2004,1942.67,3385.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=250
22,UNITED KINGDOM,HARTLEPOOL A-1,GCR,Operational,2005,2322.93,4829.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=250
23,UNITED KINGDOM,HARTLEPOOL A-1,GCR,Operational,2006,2378.89,4291.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=250
24,UNITED KINGDOM,HARTLEPOOL A-1,GCR,Operational,2007,3295.79,5680.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=250
25,UNITED KINGDOM,HARTLEPOOL A-1,GCR,Operational,2008,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=250
26,UNITED KINGDOM,HARTLEPOOL A-1,GCR,Operational,2009,3945.95,6986.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=250
27,UNITED KINGDOM,HARTLEPOOL A-1,GCR,Operational,2010,4407.41,7547.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=250
28,UNITED KINGDOM,HARTLEPOOL A-1,GCR,Operational,2011,3102.64,5514.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=250
29,UNITED KINGDOM,HARTLEPOOL A-1,GCR,Operational,2012,4301.94,7613.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=250
30,UNITED KINGDOM,HARTLEPOOL A-1,GCR,Operational,2013,3992.35,7557.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=250
