,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,UNITED STATES OF AMERICA,HATCH-2,BWR,Operational,1978,496.6,1385.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=687
1,UNITED STATES OF AMERICA,HATCH-2,BWR,Operational,1979,2632.6,4155.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=687
2,UNITED STATES OF AMERICA,HATCH-2,BWR,Operational,1980,3653.1,5269.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=687
3,UNITED STATES OF AMERICA,HATCH-2,BWR,Operational,1981,4481.5,6872.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=687
4,UNITED STATES OF AMERICA,HATCH-2,BWR,Operational,1982,3734.2,5588.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=687
5,UNITED STATES OF AMERICA,HATCH-2,BWR,Operational,1983,3817.2,5774.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=687
6,UNITED STATES OF AMERICA,HATCH-2,BWR,Operational,1984,1893.5,2833.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=687
7,UNITED STATES OF AMERICA,HATCH-2,BWR,Operational,1985,5376.13,7239.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=687
8,UNITED STATES OF AMERICA,HATCH-2,BWR,Operational,1986,3618.71,6169.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=687
9,UNITED STATES OF AMERICA,HATCH-2,BWR,Operational,1987,5755.61,8388.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=687
10,UNITED STATES OF AMERICA,HATCH-2,BWR,Operational,1988,4254.48,5917.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=687
11,UNITED STATES OF AMERICA,HATCH-2,BWR,Operational,1989,4147.17,6155.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=687
12,UNITED STATES OF AMERICA,HATCH-2,BWR,Operational,1990,6527.75,8649.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=687
13,UNITED STATES OF AMERICA,HATCH-2,BWR,Operational,1991,4932.15,6656.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=687
14,UNITED STATES OF AMERICA,HATCH-2,BWR,Operational,1992,4692.39,6668.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=687
