,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
1,UNITED KINGDOM,HEYSHAM A-1,GCR,Operational,1984,1527.0,4718.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=256
2,UNITED KINGDOM,HEYSHAM A-1,GCR,Operational,1985,256.39,726.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=256
3,UNITED KINGDOM,HEYSHAM A-1,GCR,Operational,1986,2118.76,5731.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=256
4,UNITED KINGDOM,HEYSHAM A-1,GCR,Operational,1987,1887.12,6007.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=256
5,UNITED KINGDOM,HEYSHAM A-1,GCR,Operational,1988,1646.39,3025.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=256
6,UNITED KINGDOM,HEYSHAM A-1,GCR,Operational,1989,3045.3,7113.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=256
7,UNITED KINGDOM,HEYSHAM A-1,GCR,Operational,1990,1786.74,4096.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=256
8,UNITED KINGDOM,HEYSHAM A-1,GCR,Operational,1991,3826.17,7279.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=256
9,UNITED KINGDOM,HEYSHAM A-1,GCR,Operational,1992,2764.17,5981.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=256
10,UNITED KINGDOM,HEYSHAM A-1,GCR,Operational,1993,3638.22,6643.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=256
11,UNITED KINGDOM,HEYSHAM A-1,GCR,Operational,1994,4563.37,8128.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=256
12,UNITED KINGDOM,HEYSHAM A-1,GCR,Operational,1995,2808.87,4794.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=256
13,UNITED KINGDOM,HEYSHAM A-1,GCR,Operational,1996,4056.8,7674.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=256
14,UNITED KINGDOM,HEYSHAM A-1,GCR,Operational,1997,4298.79,7757.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=256
15,UNITED KINGDOM,HEYSHAM A-1,GCR,Operational,1998,3766.08,6950.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=256
16,UNITED KINGDOM,HEYSHAM A-1,GCR,Operational,1999,4549.83,7990.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=256
17,UNITED KINGDOM,HEYSHAM A-1,GCR,Operational,2000,4587.9,8230.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=256
18,UNITED KINGDOM,HEYSHAM A-1,GCR,Operational,2001,4034.58,6959.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=256
19,UNITED KINGDOM,HEYSHAM A-1,GCR,Operational,2002,4445.53,7921.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=256
20,UNITED KINGDOM,HEYSHAM A-1,GCR,Operational,2003,3746.22,6783.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=256
21,UNITED KINGDOM,HEYSHAM A-1,GCR,Operational,2004,2638.07,4951.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=256
22,UNITED KINGDOM,HEYSHAM A-1,GCR,Operational,2005,4033.07,7458.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=256
23,UNITED KINGDOM,HEYSHAM A-1,GCR,Operational,2006,3839.08,7229.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=256
24,UNITED KINGDOM,HEYSHAM A-1,GCR,Operational,2007,2498.55,4892.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=256
25,UNITED KINGDOM,HEYSHAM A-1,GCR,Operational,2008,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=256
26,UNITED KINGDOM,HEYSHAM A-1,GCR,Operational,2009,3478.25,6363.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=256
27,UNITED KINGDOM,HEYSHAM A-1,GCR,Operational,2010,2826.72,5117.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=256
28,UNITED KINGDOM,HEYSHAM A-1,GCR,Operational,2011,4627.86,8225.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=256
29,UNITED KINGDOM,HEYSHAM A-1,GCR,Operational,2012,3749.04,7055.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=256
30,UNITED KINGDOM,HEYSHAM A-1,GCR,Operational,2013,2833.02,5384.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=256
31,UNITED KINGDOM,HEYSHAM A-1,GCR,Operational,2014,1073.88,2841.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=256
32,UNITED KINGDOM,HEYSHAM A-1,GCR,Operational,2015,2167.04,6886.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=256
33,UNITED KINGDOM,HEYSHAM A-1,GCR,Operational,2016,3472.18,7663.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=256
34,UNITED KINGDOM,HEYSHAM A-1,GCR,Operational,2017,3044.02,6387.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=256
35,UNITED KINGDOM,HEYSHAM A-1,GCR,Operational,2018,3857.56,8018.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=256
36,UNITED KINGDOM,HEYSHAM A-1,GCR,Operational,2019,3581.24,7826.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=256
37,UNITED KINGDOM,HEYSHAM A-1,GCR,Operational,2020,2648.85,5639.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=256
38,UNITED KINGDOM,HEYSHAM A-1,GCR,Operational,2021,2657.7,5625.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=256
39,UNITED KINGDOM,HEYSHAM A-1,GCR,Operational,2022,3567.83,7363.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=256
