,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,UNITED KINGDOM,HEYSHAM B-1,GCR,Operational,1988,1653.77,2555.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=259
1,UNITED KINGDOM,HEYSHAM B-1,GCR,Operational,1989,2204.46,4454.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=259
2,UNITED KINGDOM,HEYSHAM B-1,GCR,Operational,1990,1487.04,3509.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=259
3,UNITED KINGDOM,HEYSHAM B-1,GCR,Operational,1991,1465.4,2786.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=259
4,UNITED KINGDOM,HEYSHAM B-1,GCR,Operational,1992,4095.95,7240.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=259
5,UNITED KINGDOM,HEYSHAM B-1,GCR,Operational,1993,4498.15,7376.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=259
6,UNITED KINGDOM,HEYSHAM B-1,GCR,Operational,1994,4181.11,7255.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=259
7,UNITED KINGDOM,HEYSHAM B-1,GCR,Operational,1995,5193.85,8286.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=259
8,UNITED KINGDOM,HEYSHAM B-1,GCR,Operational,1996,4707.35,7699.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=259
9,UNITED KINGDOM,HEYSHAM B-1,GCR,Operational,1997,4152.78,7105.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=259
10,UNITED KINGDOM,HEYSHAM B-1,GCR,Operational,1998,5019.39,8688.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=259
11,UNITED KINGDOM,HEYSHAM B-1,GCR,Operational,1999,4235.45,7212.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=259
12,UNITED KINGDOM,HEYSHAM B-1,GCR,Operational,2000,4415.35,7502.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=259
