,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,JAPAN,HIGASHI DORI-1 (TOHOKU),BWR,Suspended Operation,2005,2749.61,3536.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=841
1,JAPAN,HIGASHI DORI-1 (TOHOKU),BWR,Suspended Operation,2006,9269.32,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=841
2,JAPAN,HIGASHI DORI-1 (TOHOKU),BWR,Suspended Operation,2007,6150.83,5827.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=841
3,JAPAN,HIGASHI DORI-1 (TOHOKU),BWR,Suspended Operation,2008,6274.76,5947.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=841
4,JAPAN,HIGASHI DORI-1 (TOHOKU),BWR,Suspended Operation,2009,7064.53,6696.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=841
5,JAPAN,HIGASHI DORI-1 (TOHOKU),BWR,Suspended Operation,2010,9298.98,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=841
6,JAPAN,HIGASHI DORI-1 (TOHOKU),BWR,Suspended Operation,2011,911.0,865.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=841
7,JAPAN,HIGASHI DORI-1 (TOHOKU),BWR,Suspended Operation,2012,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=841
8,JAPAN,HIGASHI DORI-1 (TOHOKU),BWR,Suspended Operation,2013,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=841
9,JAPAN,HIGASHI DORI-1 (TOHOKU),BWR,Suspended Operation,2014,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=841
10,JAPAN,HIGASHI DORI-1 (TOHOKU),BWR,Suspended Operation,2015,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=841
11,JAPAN,HIGASHI DORI-1 (TOHOKU),BWR,Suspended Operation,2016,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=841
12,JAPAN,HIGASHI DORI-1 (TOHOKU),BWR,Suspended Operation,2017,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=841
13,JAPAN,HIGASHI DORI-1 (TOHOKU),BWR,Suspended Operation,2018,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=841
14,JAPAN,HIGASHI DORI-1 (TOHOKU),BWR,Suspended Operation,2019,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=841
15,JAPAN,HIGASHI DORI-1 (TOHOKU),BWR,Suspended Operation,2020,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=841
16,JAPAN,HIGASHI DORI-1 (TOHOKU),BWR,Suspended Operation,2021,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=841
