,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
3,UNITED KINGDOM,HINKLEY POINT B-1,GCR,Permanent Shutdown,1979,3079.8,6646.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=244
4,UNITED KINGDOM,HINKLEY POINT B-1,GCR,Permanent Shutdown,1980,2337.16,5394.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=244
5,UNITED KINGDOM,HINKLEY POINT B-1,GCR,Permanent Shutdown,1981,3441.6,7118.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=244
6,UNITED KINGDOM,HINKLEY POINT B-1,GCR,Permanent Shutdown,1982,2950.76,6000.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=244
7,UNITED KINGDOM,HINKLEY POINT B-1,GCR,Permanent Shutdown,1983,4082.98,8127.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=244
8,UNITED KINGDOM,HINKLEY POINT B-1,GCR,Permanent Shutdown,1984,3408.22,6589.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=244
9,UNITED KINGDOM,HINKLEY POINT B-1,GCR,Permanent Shutdown,1985,4263.02,8167.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=244
10,UNITED KINGDOM,HINKLEY POINT B-1,GCR,Permanent Shutdown,1986,3199.19,6110.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=244
11,UNITED KINGDOM,HINKLEY POINT B-1,GCR,Permanent Shutdown,1987,1837.99,3554.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=244
12,UNITED KINGDOM,HINKLEY POINT B-1,GCR,Permanent Shutdown,1988,2905.41,5370.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=244
13,UNITED KINGDOM,HINKLEY POINT B-1,GCR,Permanent Shutdown,1989,4195.3,7878.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=244
14,UNITED KINGDOM,HINKLEY POINT B-1,GCR,Permanent Shutdown,1990,3101.98,5732.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=244
15,UNITED KINGDOM,HINKLEY POINT B-1,GCR,Permanent Shutdown,1991,4601.89,8430.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=244
16,UNITED KINGDOM,HINKLEY POINT B-1,GCR,Permanent Shutdown,1992,3614.47,6565.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=244
17,UNITED KINGDOM,HINKLEY POINT B-1,GCR,Permanent Shutdown,1993,4843.29,8587.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=244
