,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,CHINA,HONGYANHE-2,PWR,Operational,2013,82.0,340.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=905
1,CHINA,HONGYANHE-2,PWR,Operational,2014,4963.31,5053.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=905
2,CHINA,HONGYANHE-2,PWR,Operational,2015,3496.01,3925.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=905
3,CHINA,HONGYANHE-2,PWR,Operational,2016,5288.78,5542.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=905
4,CHINA,HONGYANHE-2,PWR,Operational,2017,5790.37,6250.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=905
5,CHINA,HONGYANHE-2,PWR,Operational,2018,7737.78,7723.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=905
6,CHINA,HONGYANHE-2,PWR,Operational,2019,8077.34,8056.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=905
7,CHINA,HONGYANHE-2,PWR,Operational,2020,7767.35,8018.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=905
8,CHINA,HONGYANHE-2,PWR,Operational,2021,8195.34,8027.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=905
9,CHINA,HONGYANHE-2,PWR,Operational,2022,8882.06,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=905
10,CHINA,HONGYANHE-2,PWR,Operational,2023,8143.39,8140.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=905
11,CHINA,HONGYANHE-2,PWR,Operational,2024,7649.97,7825.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=905
