,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
1,UNITED STATES OF AMERICA,HOPE CREEK-1,BWR,Operational,1987,7308.74,7457.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=680
2,UNITED STATES OF AMERICA,HOPE CREEK-1,BWR,Operational,1988,6470.87,6369.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=680
3,UNITED STATES OF AMERICA,HOPE CREEK-1,BWR,Operational,1989,6614.33,6717.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=680
4,UNITED STATES OF AMERICA,HOPE CREEK-1,BWR,Operational,1990,8100.14,7940.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=680
5,UNITED STATES OF AMERICA,HOPE CREEK-1,BWR,Operational,1991,7402.71,7280.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=680
6,UNITED STATES OF AMERICA,HOPE CREEK-1,BWR,Operational,1992,7059.11,6930.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=680
7,UNITED STATES OF AMERICA,HOPE CREEK-1,BWR,Operational,1993,8825.34,8526.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=680
8,UNITED STATES OF AMERICA,HOPE CREEK-1,BWR,Operational,1994,7125.64,6969.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=680
9,UNITED STATES OF AMERICA,HOPE CREEK-1,BWR,Operational,1995,7072.28,6937.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=680
10,UNITED STATES OF AMERICA,HOPE CREEK-1,BWR,Operational,1996,6770.72,6618.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=680
11,UNITED STATES OF AMERICA,HOPE CREEK-1,BWR,Operational,1997,6417.76,6511.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=680
12,UNITED STATES OF AMERICA,HOPE CREEK-1,BWR,Operational,1998,8700.37,8539.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=680
13,UNITED STATES OF AMERICA,HOPE CREEK-1,BWR,Operational,1999,7701.08,7538.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=680
14,UNITED STATES OF AMERICA,HOPE CREEK-1,BWR,Operational,2000,7271.74,7259.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=680
15,UNITED STATES OF AMERICA,HOPE CREEK-1,BWR,Operational,2001,8065.27,7859.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=680
16,UNITED STATES OF AMERICA,HOPE CREEK-1,BWR,Operational,2002,8843.08,8555.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=680
17,UNITED STATES OF AMERICA,HOPE CREEK-1,BWR,Operational,2003,7260.58,7137.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=680
18,UNITED STATES OF AMERICA,HOPE CREEK-1,BWR,Operational,2004,6048.87,6123.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=680
19,UNITED STATES OF AMERICA,HOPE CREEK-1,BWR,Operational,2005,7684.77,7379.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=680
20,UNITED STATES OF AMERICA,HOPE CREEK-1,BWR,Operational,2006,8617.78,8042.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=680
21,UNITED STATES OF AMERICA,HOPE CREEK-1,BWR,Operational,2007,8104.54,7774.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=680
22,UNITED STATES OF AMERICA,HOPE CREEK-1,BWR,Operational,2008,10006.26,8756.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=680
23,UNITED STATES OF AMERICA,HOPE CREEK-1,BWR,Operational,2009,9700.3,8104.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=680
24,UNITED STATES OF AMERICA,HOPE CREEK-1,BWR,Operational,2010,9438.54,8001.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=680
25,UNITED STATES OF AMERICA,HOPE CREEK-1,BWR,Operational,2011,10505.93,8690.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=680
26,UNITED STATES OF AMERICA,HOPE CREEK-1,BWR,Operational,2012,9586.25,8141.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=680
27,UNITED STATES OF AMERICA,HOPE CREEK-1,BWR,Operational,2013,9112.68,7751.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=680
28,UNITED STATES OF AMERICA,HOPE CREEK-1,BWR,Operational,2014,10406.06,8636.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=680
29,UNITED STATES OF AMERICA,HOPE CREEK-1,BWR,Operational,2015,9450.74,7895.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=680
30,UNITED STATES OF AMERICA,HOPE CREEK-1,BWR,Operational,2016,9639.69,8087.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=680
31,UNITED STATES OF AMERICA,HOPE CREEK-1,BWR,Operational,2017,10657.91,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=680
32,UNITED STATES OF AMERICA,HOPE CREEK-1,BWR,Operational,2018,9583.4,8071.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=680
33,UNITED STATES OF AMERICA,HOPE CREEK-1,BWR,Operational,2019,8767.2,7746.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=680
