,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,UNITED KINGDOM,HUNTERSTON B-1,GCR,Permanent Shutdown,1976,1349.0,4293.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=246
1,UNITED KINGDOM,HUNTERSTON B-1,GCR,Permanent Shutdown,1977,1709.2,4313.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=246
2,UNITED KINGDOM,HUNTERSTON B-1,GCR,Permanent Shutdown,1978,2158.4,5375.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=246
3,UNITED KINGDOM,HUNTERSTON B-1,GCR,Permanent Shutdown,1979,2250.0,5259.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=246
4,UNITED KINGDOM,HUNTERSTON B-1,GCR,Permanent Shutdown,1980,1486.0,3750.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=246
5,UNITED KINGDOM,HUNTERSTON B-1,GCR,Permanent Shutdown,1981,1794.8,3941.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=246
6,UNITED KINGDOM,HUNTERSTON B-1,GCR,Permanent Shutdown,1982,3484.1,7408.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=246
7,UNITED KINGDOM,HUNTERSTON B-1,GCR,Permanent Shutdown,1983,2912.0,6107.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=246
8,UNITED KINGDOM,HUNTERSTON B-1,GCR,Permanent Shutdown,1984,4214.0,8080.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=246
9,UNITED KINGDOM,HUNTERSTON B-1,GCR,Permanent Shutdown,1985,3644.2,6655.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=246
10,UNITED KINGDOM,HUNTERSTON B-1,GCR,Permanent Shutdown,1986,4571.2,8268.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=246
11,UNITED KINGDOM,HUNTERSTON B-1,GCR,Permanent Shutdown,1987,3268.4,6358.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=246
12,UNITED KINGDOM,HUNTERSTON B-1,GCR,Permanent Shutdown,1988,4492.3,8568.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=246
13,UNITED KINGDOM,HUNTERSTON B-1,GCR,Permanent Shutdown,1989,2959.7,5467.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=246
