,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,LITHUANIA,IGNALINA-2,LWGR,Permanent Shutdown,1987,2520.26,2949.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=416
1,LITHUANIA,IGNALINA-2,LWGR,Permanent Shutdown,1988,7141.5,6213.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=416
2,LITHUANIA,IGNALINA-2,LWGR,Permanent Shutdown,1989,7125.8,6259.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=416
3,LITHUANIA,IGNALINA-2,LWGR,Permanent Shutdown,1990,8250.73,7296.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=416
4,LITHUANIA,IGNALINA-2,LWGR,Permanent Shutdown,1991,8802.15,7602.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=416
5,LITHUANIA,IGNALINA-2,LWGR,Permanent Shutdown,1992,6693.27,5977.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=416
6,LITHUANIA,IGNALINA-2,LWGR,Permanent Shutdown,1993,5675.88,5801.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=416
7,LITHUANIA,IGNALINA-2,LWGR,Permanent Shutdown,1994,3167.37,4556.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=416
8,LITHUANIA,IGNALINA-2,LWGR,Permanent Shutdown,1995,5610.93,6431.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=416
9,LITHUANIA,IGNALINA-2,LWGR,Permanent Shutdown,1996,6918.87,6778.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=416
10,LITHUANIA,IGNALINA-2,LWGR,Permanent Shutdown,1997,6453.49,6941.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=416
11,LITHUANIA,IGNALINA-2,LWGR,Permanent Shutdown,1998,8174.79,7967.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=416
12,LITHUANIA,IGNALINA-2,LWGR,Permanent Shutdown,1999,4926.46,6777.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=416
13,LITHUANIA,IGNALINA-2,LWGR,Permanent Shutdown,2000,3872.96,4890.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=416
14,LITHUANIA,IGNALINA-2,LWGR,Permanent Shutdown,2001,4867.4,4971.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=416
15,LITHUANIA,IGNALINA-2,LWGR,Permanent Shutdown,2002,7411.31,6980.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=416
16,LITHUANIA,IGNALINA-2,LWGR,Permanent Shutdown,2003,7461.94,7156.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=416
17,LITHUANIA,IGNALINA-2,LWGR,Permanent Shutdown,2004,4703.01,4673.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=416
18,LITHUANIA,IGNALINA-2,LWGR,Permanent Shutdown,2005,9544.08,7826.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=416
19,LITHUANIA,IGNALINA-2,LWGR,Permanent Shutdown,2006,7944.57,7526.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=416
20,LITHUANIA,IGNALINA-2,LWGR,Permanent Shutdown,2007,9074.85,7746.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=416
21,LITHUANIA,IGNALINA-2,LWGR,Permanent Shutdown,2008,9140.04,7558.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=416
22,LITHUANIA,IGNALINA-2,LWGR,Permanent Shutdown,2009,10025.34,8243.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=416
