,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,JAPAN,IKATA-2,PWR,Permanent Shutdown,1981,684.8,2344.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=358
1,JAPAN,IKATA-2,PWR,Permanent Shutdown,1982,4273.8,8107.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=358
2,JAPAN,IKATA-2,PWR,Permanent Shutdown,1983,3575.0,6798.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=358
3,JAPAN,IKATA-2,PWR,Permanent Shutdown,1984,3776.56,7157.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=358
4,JAPAN,IKATA-2,PWR,Permanent Shutdown,1985,3694.12,6995.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=358
5,JAPAN,IKATA-2,PWR,Permanent Shutdown,1986,4698.58,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=358
6,JAPAN,IKATA-2,PWR,Permanent Shutdown,1987,3758.71,7137.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=358
7,JAPAN,IKATA-2,PWR,Permanent Shutdown,1988,3541.48,6743.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=358
8,JAPAN,IKATA-2,PWR,Permanent Shutdown,1989,3751.25,7128.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=358
9,JAPAN,IKATA-2,PWR,Permanent Shutdown,1990,4694.86,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=358
10,JAPAN,IKATA-2,PWR,Permanent Shutdown,1991,3526.25,6731.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=358
11,JAPAN,IKATA-2,PWR,Permanent Shutdown,1992,3479.85,6639.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=358
12,JAPAN,IKATA-2,PWR,Permanent Shutdown,1993,3588.59,6799.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=358
13,JAPAN,IKATA-2,PWR,Permanent Shutdown,1994,4700.62,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=358
14,JAPAN,IKATA-2,PWR,Permanent Shutdown,1995,3720.9,7014.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=358
15,JAPAN,IKATA-2,PWR,Permanent Shutdown,1996,3664.82,6935.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=358
16,JAPAN,IKATA-2,PWR,Permanent Shutdown,1997,3610.43,6831.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=358
17,JAPAN,IKATA-2,PWR,Permanent Shutdown,1998,4701.08,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=358
18,JAPAN,IKATA-2,PWR,Permanent Shutdown,1999,3734.41,6973.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=358
19,JAPAN,IKATA-2,PWR,Permanent Shutdown,2000,3695.01,6888.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=358
20,JAPAN,IKATA-2,PWR,Permanent Shutdown,2001,3145.65,5875.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=358
21,JAPAN,IKATA-2,PWR,Permanent Shutdown,2002,4718.51,8698.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=358
22,JAPAN,IKATA-2,PWR,Permanent Shutdown,2003,3904.74,7150.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=358
23,JAPAN,IKATA-2,PWR,Permanent Shutdown,2004,3611.92,6683.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=358
24,JAPAN,IKATA-2,PWR,Permanent Shutdown,2005,3163.34,5890.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=358
25,JAPAN,IKATA-2,PWR,Permanent Shutdown,2006,3329.2,6230.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=358
26,JAPAN,IKATA-2,PWR,Permanent Shutdown,2007,4720.61,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=358
27,JAPAN,IKATA-2,PWR,Permanent Shutdown,2008,3897.55,7285.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=358
28,JAPAN,IKATA-2,PWR,Permanent Shutdown,2009,3101.65,5778.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=358
29,JAPAN,IKATA-2,PWR,Permanent Shutdown,2010,3717.77,6862.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=358
30,JAPAN,IKATA-2,PWR,Permanent Shutdown,2011,4752.88,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=358
31,JAPAN,IKATA-2,PWR,Permanent Shutdown,2012,168.9,312.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=358
32,JAPAN,IKATA-2,PWR,Permanent Shutdown,2013,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=358
33,JAPAN,IKATA-2,PWR,Permanent Shutdown,2014,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=358
34,JAPAN,IKATA-2,PWR,Permanent Shutdown,2015,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=358
