,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,UNITED STATES OF AMERICA,INDIAN POINT-2,PWR,Permanent Shutdown,1973,366.1,1245.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=611
1,UNITED STATES OF AMERICA,INDIAN POINT-2,PWR,Permanent Shutdown,1974,3329.0,5220.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=611
2,UNITED STATES OF AMERICA,INDIAN POINT-2,PWR,Permanent Shutdown,1975,4646.0,6545.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=611
3,UNITED STATES OF AMERICA,INDIAN POINT-2,PWR,Permanent Shutdown,1976,2287.1,3054.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=611
4,UNITED STATES OF AMERICA,INDIAN POINT-2,PWR,Permanent Shutdown,1977,5210.3,6626.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=611
5,UNITED STATES OF AMERICA,INDIAN POINT-2,PWR,Permanent Shutdown,1978,4372.9,5503.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=611
6,UNITED STATES OF AMERICA,INDIAN POINT-2,PWR,Permanent Shutdown,1979,4808.4,6156.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=611
7,UNITED STATES OF AMERICA,INDIAN POINT-2,PWR,Permanent Shutdown,1980,4273.2,5689.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=611
8,UNITED STATES OF AMERICA,INDIAN POINT-2,PWR,Permanent Shutdown,1981,3065.0,4027.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=611
9,UNITED STATES OF AMERICA,INDIAN POINT-2,PWR,Permanent Shutdown,1982,4458.6,5726.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=611
10,UNITED STATES OF AMERICA,INDIAN POINT-2,PWR,Permanent Shutdown,1983,5895.3,7354.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=611
11,UNITED STATES OF AMERICA,INDIAN POINT-2,PWR,Permanent Shutdown,1984,2891.63,4552.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=611
12,UNITED STATES OF AMERICA,INDIAN POINT-2,PWR,Permanent Shutdown,1985,6665.04,8382.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=611
13,UNITED STATES OF AMERICA,INDIAN POINT-2,PWR,Permanent Shutdown,1986,3827.37,4924.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=611
14,UNITED STATES OF AMERICA,INDIAN POINT-2,PWR,Permanent Shutdown,1987,5149.59,6331.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=611
15,UNITED STATES OF AMERICA,INDIAN POINT-2,PWR,Permanent Shutdown,1988,6063.99,7247.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=611
16,UNITED STATES OF AMERICA,INDIAN POINT-2,PWR,Permanent Shutdown,1989,4476.87,5556.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=611
17,UNITED STATES OF AMERICA,INDIAN POINT-2,PWR,Permanent Shutdown,1990,5222.15,5779.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=611
18,UNITED STATES OF AMERICA,INDIAN POINT-2,PWR,Permanent Shutdown,1991,3873.43,4495.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=611
19,UNITED STATES OF AMERICA,INDIAN POINT-2,PWR,Permanent Shutdown,1992,7880.64,8494.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=611
20,UNITED STATES OF AMERICA,INDIAN POINT-2,PWR,Permanent Shutdown,1993,5931.71,6570.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=611
21,UNITED STATES OF AMERICA,INDIAN POINT-2,PWR,Permanent Shutdown,1994,7634.6,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=611
22,UNITED STATES OF AMERICA,INDIAN POINT-2,PWR,Permanent Shutdown,1995,4896.89,5533.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=611
23,UNITED STATES OF AMERICA,INDIAN POINT-2,PWR,Permanent Shutdown,1996,7831.79,8261.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=611
24,UNITED STATES OF AMERICA,INDIAN POINT-2,PWR,Permanent Shutdown,1997,3179.72,3639.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=611
25,UNITED STATES OF AMERICA,INDIAN POINT-2,PWR,Permanent Shutdown,1998,2512.52,2698.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=611
26,UNITED STATES OF AMERICA,INDIAN POINT-2,PWR,Permanent Shutdown,1999,7300.44,7665.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=611
27,UNITED STATES OF AMERICA,INDIAN POINT-2,PWR,Permanent Shutdown,2000,1062.31,1099.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=611
28,UNITED STATES OF AMERICA,INDIAN POINT-2,PWR,Permanent Shutdown,2001,7792.73,8429.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=611
29,UNITED STATES OF AMERICA,INDIAN POINT-2,PWR,Permanent Shutdown,2002,7556.55,7931.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=611
30,UNITED STATES OF AMERICA,INDIAN POINT-2,PWR,Permanent Shutdown,2003,8370.81,8597.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=611
31,UNITED STATES OF AMERICA,INDIAN POINT-2,PWR,Permanent Shutdown,2004,7513.09,7851.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=611
32,UNITED STATES OF AMERICA,INDIAN POINT-2,PWR,Permanent Shutdown,2005,8847.09,8730.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=611
33,UNITED STATES OF AMERICA,INDIAN POINT-2,PWR,Permanent Shutdown,2006,7984.68,7937.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=611
34,UNITED STATES OF AMERICA,INDIAN POINT-2,PWR,Permanent Shutdown,2007,8842.64,8679.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=611
35,UNITED STATES OF AMERICA,INDIAN POINT-2,PWR,Permanent Shutdown,2008,8205.17,8088.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=611
36,UNITED STATES OF AMERICA,INDIAN POINT-2,PWR,Permanent Shutdown,2009,8837.44,8667.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=611
37,UNITED STATES OF AMERICA,INDIAN POINT-2,PWR,Permanent Shutdown,2010,7325.92,7267.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=611
38,UNITED STATES OF AMERICA,INDIAN POINT-2,PWR,Permanent Shutdown,2011,8767.22,8648.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=611
39,UNITED STATES OF AMERICA,INDIAN POINT-2,PWR,Permanent Shutdown,2012,7911.3,7867.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=611
40,UNITED STATES OF AMERICA,INDIAN POINT-2,PWR,Permanent Shutdown,2013,8763.08,8675.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=611
41,UNITED STATES OF AMERICA,INDIAN POINT-2,PWR,Permanent Shutdown,2014,8313.12,8194.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=611
42,UNITED STATES OF AMERICA,INDIAN POINT-2,PWR,Permanent Shutdown,2015,8793.59,8691.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=611
43,UNITED STATES OF AMERICA,INDIAN POINT-2,PWR,Permanent Shutdown,2016,6030.06,6226.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=611
44,UNITED STATES OF AMERICA,INDIAN POINT-2,PWR,Permanent Shutdown,2017,8315.2,8301.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=611
45,UNITED STATES OF AMERICA,INDIAN POINT-2,PWR,Permanent Shutdown,2018,7997.1,7957.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=611
46,UNITED STATES OF AMERICA,INDIAN POINT-2,PWR,Permanent Shutdown,2019,8352.75,8301.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=611
47,UNITED STATES OF AMERICA,INDIAN POINT-2,PWR,Permanent Shutdown,2020,2759.08,2902.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=611
