,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,GERMANY,ISAR-2,PWR,Permanent Shutdown,1988,6023.0,6177.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=106
1,GERMANY,ISAR-2,PWR,Permanent Shutdown,1989,7728.92,6876.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=106
2,GERMANY,ISAR-2,PWR,Permanent Shutdown,1990,9271.36,7915.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=106
3,GERMANY,ISAR-2,PWR,Permanent Shutdown,1991,9699.19,7732.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=106
4,GERMANY,ISAR-2,PWR,Permanent Shutdown,1992,9843.49,7917.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=106
5,GERMANY,ISAR-2,PWR,Permanent Shutdown,1993,10192.97,8052.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=106
6,GERMANY,ISAR-2,PWR,Permanent Shutdown,1994,10499.86,8209.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=106
7,GERMANY,ISAR-2,PWR,Permanent Shutdown,1995,10040.31,7891.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=106
8,GERMANY,ISAR-2,PWR,Permanent Shutdown,1996,10265.1,7989.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=106
9,GERMANY,ISAR-2,PWR,Permanent Shutdown,1997,10906.39,8258.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=106
10,GERMANY,ISAR-2,PWR,Permanent Shutdown,1998,10758.1,8356.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=106
11,GERMANY,ISAR-2,PWR,Permanent Shutdown,1999,11610.87,8465.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=106
12,GERMANY,ISAR-2,PWR,Permanent Shutdown,2000,11291.15,8311.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=106
13,GERMANY,ISAR-2,PWR,Permanent Shutdown,2001,11731.31,8506.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=106
14,GERMANY,ISAR-2,PWR,Permanent Shutdown,2002,11512.23,8350.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=106
15,GERMANY,ISAR-2,PWR,Permanent Shutdown,2003,11671.59,8491.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=106
16,GERMANY,ISAR-2,PWR,Permanent Shutdown,2004,11595.28,8395.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=106
17,GERMANY,ISAR-2,PWR,Permanent Shutdown,2005,11102.56,7976.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=106
18,GERMANY,ISAR-2,PWR,Permanent Shutdown,2006,11755.26,8494.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=106
19,GERMANY,ISAR-2,PWR,Permanent Shutdown,2007,11377.49,8200.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=106
20,GERMANY,ISAR-2,PWR,Permanent Shutdown,2008,11456.15,8217.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=106
21,GERMANY,ISAR-2,PWR,Permanent Shutdown,2009,11484.85,8277.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=106
22,GERMANY,ISAR-2,PWR,Permanent Shutdown,2010,11375.28,8162.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=106
23,GERMANY,ISAR-2,PWR,Permanent Shutdown,2011,11655.84,8378.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=106
24,GERMANY,ISAR-2,PWR,Permanent Shutdown,2012,11385.03,8299.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=106
25,GERMANY,ISAR-2,PWR,Permanent Shutdown,2013,11402.06,8400.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=106
26,GERMANY,ISAR-2,PWR,Permanent Shutdown,2014,10794.9,8350.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=106
