,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
2,SPAIN,JOSE CABRERA-1,PWR,Permanent Shutdown,1970,923.0,7043.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=139
3,SPAIN,JOSE CABRERA-1,PWR,Permanent Shutdown,1971,1006.9,6832.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=139
4,SPAIN,JOSE CABRERA-1,PWR,Permanent Shutdown,1972,896.5,6172.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=139
5,SPAIN,JOSE CABRERA-1,PWR,Permanent Shutdown,1973,874.9,6089.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=139
6,SPAIN,JOSE CABRERA-1,PWR,Permanent Shutdown,1974,1017.4,8450.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=139
7,SPAIN,JOSE CABRERA-1,PWR,Permanent Shutdown,1975,1083.5,7685.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=139
8,SPAIN,JOSE CABRERA-1,PWR,Permanent Shutdown,1976,1058.7,7780.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=139
9,SPAIN,JOSE CABRERA-1,PWR,Permanent Shutdown,1977,1139.7,8003.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=139
10,SPAIN,JOSE CABRERA-1,PWR,Permanent Shutdown,1978,1008.0,7059.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=139
11,SPAIN,JOSE CABRERA-1,PWR,Permanent Shutdown,1979,951.4,6789.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=139
12,SPAIN,JOSE CABRERA-1,PWR,Permanent Shutdown,1980,914.4,7355.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=139
13,SPAIN,JOSE CABRERA-1,PWR,Permanent Shutdown,1981,1108.5,7690.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=139
14,SPAIN,JOSE CABRERA-1,PWR,Permanent Shutdown,1982,865.9,6891.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=139
15,SPAIN,JOSE CABRERA-1,PWR,Permanent Shutdown,1983,14.8,163.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=139
