,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
0,INDIA,KAIGA-1,PHWR,Operational,2000,192.32,1173.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=289
1,INDIA,KAIGA-1,PHWR,Operational,2001,1241.14,6316.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=289
2,INDIA,KAIGA-1,PHWR,Operational,2002,1692.93,8082.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=289
3,INDIA,KAIGA-1,PHWR,Operational,2003,1336.02,7255.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=289
4,INDIA,KAIGA-1,PHWR,Operational,2004,1344.92,8181.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=289
5,INDIA,KAIGA-1,PHWR,Operational,2005,1183.58,7580.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=289
6,INDIA,KAIGA-1,PHWR,Operational,2006,1167.31,8524.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=289
7,INDIA,KAIGA-1,PHWR,Operational,2007,946.25,7250.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=289
8,INDIA,KAIGA-1,PHWR,Operational,2008,1103.03,8784.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=289
9,INDIA,KAIGA-1,PHWR,Operational,2009,842.14,6953.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=289
10,INDIA,KAIGA-1,PHWR,Operational,2010,998.55,8535.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=289
11,INDIA,KAIGA-1,PHWR,Operational,2011,1124.79,7900.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=289
12,INDIA,KAIGA-1,PHWR,Operational,2012,1303.28,8719.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=289
13,INDIA,KAIGA-1,PHWR,Operational,2013,1440.99,8049.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=289
14,INDIA,KAIGA-1,PHWR,Operational,2014,1433.14,8751.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=289
15,INDIA,KAIGA-1,PHWR,Operational,2015,1740.46,8492.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=289
16,INDIA,KAIGA-1,PHWR,Operational,2016,1589.32,7904.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=289
17,INDIA,KAIGA-1,PHWR,Operational,2017,1758.47,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=289
18,INDIA,KAIGA-1,PHWR,Operational,2018,1748.63,8759.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=289
19,INDIA,KAIGA-1,PHWR,Operational,2019,1360.54,6811.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=289
20,INDIA,KAIGA-1,PHWR,Operational,2020,1736.35,8639.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=289
21,INDIA,KAIGA-1,PHWR,Operational,2021,1460.86,7530.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=289
22,INDIA,KAIGA-1,PHWR,Operational,2022,1671.76,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=289
23,INDIA,KAIGA-1,PHWR,Operational,2023,1472.23,7787.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=289
24,INDIA,KAIGA-1,PHWR,Operational,2024,1648.02,8731.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=289
