,Country,Reactor,Type,Status,Year,Electricity Supplied [GW.h],Annual Time On Line [h],Source
2,INDIA,KAKRAPAR-1,PHWR,Operational,1994,130.28,1049.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=308
3,INDIA,KAKRAPAR-1,PHWR,Operational,1995,1089.07,6225.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=308
4,INDIA,KAKRAPAR-1,PHWR,Operational,1996,1295.82,7539.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=308
5,INDIA,KAKRAPAR-1,PHWR,Operational,1997,906.72,5140.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=308
6,INDIA,KAKRAPAR-1,PHWR,Operational,1998,1090.62,5987.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=308
7,INDIA,KAKRAPAR-1,PHWR,Operational,1999,1407.12,7450.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=308
8,INDIA,KAKRAPAR-1,PHWR,Operational,2000,1645.42,8445.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=308
9,INDIA,KAKRAPAR-1,PHWR,Operational,2001,1517.45,7690.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=308
10,INDIA,KAKRAPAR-1,PHWR,Operational,2002,1697.79,8488.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=308
11,INDIA,KAKRAPAR-1,PHWR,Operational,2003,1419.43,7622.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=308
12,INDIA,KAKRAPAR-1,PHWR,Operational,2004,1064.42,7416.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=308
13,INDIA,KAKRAPAR-1,PHWR,Operational,2005,1089.4,7969.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=308
14,INDIA,KAKRAPAR-1,PHWR,Operational,2006,985.55,7316.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=308
15,INDIA,KAKRAPAR-1,PHWR,Operational,2007,828.7,6867.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=308
16,INDIA,KAKRAPAR-1,PHWR,Operational,2008,438.12,4210.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=308
17,INDIA,KAKRAPAR-1,PHWR,Operational,2009,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=308
18,INDIA,KAKRAPAR-1,PHWR,Operational,2010,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=308
19,INDIA,KAKRAPAR-1,PHWR,Operational,2011,1621.39,8177.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=308
20,INDIA,KAKRAPAR-1,PHWR,Operational,2012,1640.69,8186.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=308
21,INDIA,KAKRAPAR-1,PHWR,Operational,2013,1711.81,8387.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=308
22,INDIA,KAKRAPAR-1,PHWR,Operational,2014,1719.7,8543.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=308
23,INDIA,KAKRAPAR-1,PHWR,Operational,2015,1541.28,7699.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=308
24,INDIA,KAKRAPAR-1,PHWR,Operational,2016,337.72,1676.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=308
25,INDIA,KAKRAPAR-1,PHWR,Operational,2017,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=308
26,INDIA,KAKRAPAR-1,PHWR,Operational,2018,0.0,0.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=308
27,INDIA,KAKRAPAR-1,PHWR,Operational,2019,887.73,4723.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=308
28,INDIA,KAKRAPAR-1,PHWR,Operational,2020,1600.12,8417.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=308
29,INDIA,KAKRAPAR-1,PHWR,Operational,2021,1655.51,8370.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=308
30,INDIA,KAKRAPAR-1,PHWR,Operational,2022,1617.43,8009.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=308
31,INDIA,KAKRAPAR-1,PHWR,Operational,2023,1764.71,8760.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=308
32,INDIA,KAKRAPAR-1,PHWR,Operational,2024,1526.18,7638.0,https://pris.iaea.org/PRIS/CountryStatistics/ReactorDetails.aspx?current=308
